,净值日期,单位净值,累计净值,日增长率
0,2020-05-21,3.1920,3.1920,0.66%
1,2020-05-20,3.1710,3.1710,-0.44%
2,2020-05-19,3.1850,3.1850,0.50%
3,2020-05-18,3.1690,3.1690,1.70%
4,2020-05-15,3.1160,3.1160,-1.05%
5,2020-05-14,3.1490,3.1490,-0.29%
6,2020-05-13,3.1580,3.1580,1.22%
7,2020-05-12,3.1200,3.1200,0.94%
8,2020-05-11,3.0910,3.0910,0.62%
9,2020-05-08,3.0720,3.0720,1.59%
10,2020-05-07,3.0240,3.0240,0.73%
11,2020-05-06,3.0020,3.0020,0.17%
12,2020-04-30,2.9970,2.9970,0.74%
13,2020-04-29,2.9750,2.9750,-1.75%
14,2020-04-28,3.0280,3.0280,2.19%
15,2020-04-27,2.9630,2.9630,-0.70%
16,2020-04-24,2.9840,2.9840,0.30%
17,2020-04-23,2.9750,2.9750,0.75%
18,2020-04-22,2.9530,2.9530,2.07%
19,2020-04-21,2.8930,2.8930,-1.67%
20,2020-04-20,2.9420,2.9420,0.44%
21,2020-04-17,2.9290,2.9290,0.83%
22,2020-04-16,2.9050,2.9050,-0.55%
23,2020-04-15,2.9210,2.9210,-0.31%
24,2020-04-14,2.9300,2.9300,1.21%
25,2020-04-13,2.8950,2.8950,0.45%
26,2020-04-10,2.8820,2.8820,0.84%
27,2020-04-09,2.8580,2.8580,0.67%
28,2020-04-08,2.8390,2.8390,-0.42%
29,2020-04-07,2.8510,2.8510,1.89%
30,2020-04-03,2.7980,2.7980,-0.32%
31,2020-04-02,2.8070,2.8070,0.93%
32,2020-04-01,2.7810,2.7810,-0.47%
33,2020-03-31,2.7940,2.7940,1.56%
34,2020-03-30,2.7510,2.7510,-1.40%
35,2020-03-27,2.7900,2.7900,1.20%
36,2020-03-26,2.7570,2.7570,0.07%
37,2020-03-25,2.7550,2.7550,2.91%
38,2020-03-24,2.6770,2.6770,3.52%
39,2020-03-23,2.5860,2.5860,-3.15%
40,2020-03-20,2.6700,2.6700,2.42%
41,2020-03-19,2.6070,2.6070,-3.01%
42,2020-03-18,2.6880,2.6880,-1.79%
43,2020-03-17,2.7370,2.7370,-1.86%
44,2020-03-16,2.7890,2.7890,-3.46%
45,2020-03-13,2.8890,2.8890,-1.67%
