,净值日期,单位净值,累计净值,日增长率
0,2020-05-21,1.2584,1.2584,-1.77%
1,2020-05-20,1.2811,1.2811,-1.71%
2,2020-05-19,1.3034,1.3034,2.05%
3,2020-05-18,1.2772,1.2772,0.09%
4,2020-05-15,1.2761,1.2761,0.66%
5,2020-05-14,1.2677,1.2677,-1.25%
6,2020-05-13,1.2838,1.2838,1.32%
7,2020-05-12,1.2671,1.2671,1.58%
8,2020-05-11,1.2474,1.2474,-2.00%
9,2020-05-08,1.2729,1.2729,0.79%
10,2020-05-07,1.2629,1.2629,0.11%
11,2020-05-06,1.2615,1.2615,2.37%
12,2020-04-30,1.2323,1.2323,1.75%
13,2020-04-29,1.2111,1.2111,-1.54%
14,2020-04-28,1.2301,1.2301,1.53%
15,2020-04-27,1.2116,1.2116,1.02%
16,2020-04-24,1.1994,1.1994,-0.99%
17,2020-04-23,1.2114,1.2114,-1.01%
18,2020-04-22,1.2238,1.2238,0.49%
19,2020-04-21,1.2178,1.2178,-0.79%
20,2020-04-20,1.2275,1.2275,1.87%
21,2020-04-17,1.2050,1.2050,0.36%
22,2020-04-16,1.2007,1.2007,1.07%
23,2020-04-15,1.1880,1.1880,-1.12%
24,2020-04-14,1.2014,1.2014,2.44%
25,2020-04-13,1.1728,1.1728,-0.97%
26,2020-04-10,1.1843,1.1843,-2.40%
27,2020-04-09,1.2134,1.2134,2.11%
28,2020-04-08,1.1883,1.1883,-0.49%
29,2020-04-07,1.1942,1.1942,2.94%
30,2020-04-03,1.1601,1.1601,0.03%
31,2020-04-02,1.1597,1.1597,3.57%
32,2020-04-01,1.1197,1.1197,-0.23%
33,2020-03-31,1.1223,1.1223,-0.14%
34,2020-03-30,1.1239,1.1239,-2.39%
35,2020-03-27,1.1514,1.1514,-1.63%
36,2020-03-26,1.1705,1.1705,-0.48%
37,2020-03-25,1.1762,1.1762,2.24%
38,2020-03-24,1.1504,1.1504,1.59%
39,2020-03-23,1.1324,1.1324,-4.24%
40,2020-03-20,1.1826,1.1826,0.83%
41,2020-03-19,1.1729,1.1729,0.60%
42,2020-03-18,1.1659,1.1659,-1.83%
43,2020-03-17,1.1876,1.1876,0.52%
44,2020-03-16,1.1814,1.1814,-5.15%
45,2020-03-13,1.2456,1.2456,0.44%
46,2020-03-12,1.2402,1.2402,-1.51%
47,2020-03-11,1.2592,1.2592,-2.01%
48,2020-03-10,1.2850,1.2850,3.62%
49,2020-03-09,1.2401,1.2401,-4.58%
50,2020-03-06,1.2996,1.2996,-0.70%
51,2020-03-05,1.3087,1.3087,-0.90%
52,2020-03-04,1.3206,1.3206,-2.39%
53,2020-03-03,1.3530,1.3530,1.15%
54,2020-03-02,1.3376,1.3376,4.11%
55,2020-02-28,1.2848,1.2848,-4.76%
56,2020-02-27,1.3490,1.3490,-0.21%
57,2020-02-26,1.3518,1.3518,-5.71%
58,2020-02-25,1.4337,1.4337,1.87%
59,2020-02-24,1.4074,1.4074,4.07%
60,2020-02-21,1.3523,1.3523,1.82%
61,2020-02-20,1.3281,1.3281,2.30%
62,2020-02-19,1.2982,1.2982,-1.58%
63,2020-02-18,1.3191,1.3191,2.76%
64,2020-02-17,1.2837,1.2837,3.55%
65,2020-02-14,1.2397,1.2397,0.13%
66,2020-02-13,1.2381,1.2381,0.47%
67,2020-02-12,1.2323,1.2323,2.80%
68,2020-02-11,1.1987,1.1987,0.64%
69,2020-02-10,1.1911,1.1911,-2.06%
70,2020-02-07,1.2161,1.2161,2.57%
71,2020-02-06,1.1856,1.1856,3.45%
72,2020-02-05,1.1461,1.1461,2.19%
73,2020-02-04,1.1215,1.1215,7.39%
74,2020-02-03,1.0443,1.0443,-8.91%
75,2020-01-23,1.1465,1.1465,-1.92%
76,2020-01-22,1.1690,1.1690,4.46%
77,2020-01-21,1.1191,1.1191,-0.46%
78,2020-01-20,1.1243,1.1243,3.89%
79,2020-01-17,1.0822,1.0822,0.45%
80,2020-01-16,1.0773,1.0773,0.61%
81,2020-01-15,1.0708,1.0708,1.39%
82,2020-01-14,1.0561,1.0561,0.17%
83,2020-01-13,1.0543,1.0543,2.01%
84,2020-01-10,1.0335,1.0335,0.49%
85,2020-01-09,1.0285,1.0285,1.87%
86,2020-01-08,1.0096,1.0096,-1.35%
87,2020-01-07,1.0234,1.0234,0.18%
88,2020-01-06,1.0216,1.0216,0.38%
89,2020-01-03,1.0177,1.0177,0.03%
90,2020-01-02,1.0174,1.0174,1.73%
91,2019-12-31,1.0001,1.0001,-0.12%
92,2019-12-30,1.0013,1.0013,0.16%
93,2019-12-27,0.9997,0.9997,-1.11%
94,2019-12-26,1.0109,1.0109,0.03%
95,2019-12-25,1.0106,1.0106,0.65%
96,2019-12-24,1.0041,1.0041,0.98%
97,2019-12-23,0.9944,0.9944,-1.36%
98,2019-12-20,1.0081,1.0081,
99,2019-12-13,1.0101,1.0101,
100,2019-12-06,1.0045,1.0045,
101,2019-11-29,0.9969,0.9969,
102,2019-11-22,0.9976,0.9976,
103,2019-11-18,1.0000,1.0000,
