,净值日期,单位净值,累计净值,日增长率
0,2020-05-21,1.7900,2.1590,-0.94%
1,2020-05-20,1.8070,2.1760,-1.20%
2,2020-05-19,1.8290,2.1980,1.22%
3,2020-05-18,1.8070,2.1760,-0.28%
4,2020-05-15,1.8120,2.1810,0.28%
5,2020-05-14,1.8070,2.1760,-1.09%
6,2020-05-13,1.8270,2.1960,0.44%
7,2020-05-12,1.8190,2.1880,0.06%
8,2020-05-11,1.8180,2.1870,0.22%
9,2020-05-08,1.8140,2.1830,0.89%
10,2020-05-07,1.7980,2.1670,-0.28%
11,2020-05-06,1.8030,2.1720,1.52%
12,2020-04-30,1.7760,2.1450,1.78%
13,2020-04-29,1.7450,2.1140,0.11%
14,2020-04-28,1.7430,2.1120,-0.29%
15,2020-04-27,1.7480,2.1170,-0.06%
16,2020-04-24,1.7490,2.1180,-1.63%
17,2020-04-23,1.7780,2.1470,-0.34%
18,2020-04-22,1.7840,2.1530,0.85%
19,2020-04-21,1.7690,2.1380,-0.79%
20,2020-04-20,1.7830,2.1520,1.25%
21,2020-04-17,1.7610,2.1300,0.11%
22,2020-04-16,1.7590,2.1280,0.63%
23,2020-04-15,1.7480,2.1170,-0.40%
24,2020-04-14,1.7550,2.1240,2.03%
25,2020-04-13,1.7200,2.0890,-0.46%
26,2020-04-10,1.7280,2.0970,-1.65%
27,2020-04-09,1.7570,2.1260,0.51%
28,2020-04-08,1.7480,2.1170,0.23%
29,2020-04-07,1.7440,2.1130,2.89%
30,2020-04-03,1.6950,2.0640,-0.82%
31,2020-04-02,1.7090,2.0780,2.34%
32,2020-04-01,1.6700,2.0390,-0.36%
33,2020-03-31,1.6760,2.0450,0.42%
34,2020-03-30,1.6690,2.0380,-1.88%
35,2020-03-27,1.7010,2.0700,-0.18%
36,2020-03-26,1.7040,2.0730,-0.81%
37,2020-03-25,1.7180,2.0870,2.14%
38,2020-03-24,1.6820,2.0510,1.45%
39,2020-03-23,1.6580,2.0270,-3.88%
40,2020-03-20,1.7250,2.0940,1.35%
41,2020-03-19,1.7020,2.0710,0.71%
42,2020-03-18,1.6900,2.0590,-1.46%
43,2020-03-17,1.7150,2.0840,0.53%
44,2020-03-16,1.7060,2.0750,-4.64%
45,2020-03-13,1.7890,2.1580,-0.72%
46,2020-03-12,1.8020,2.1710,-1.85%
47,2020-03-11,1.8360,2.2050,-1.66%
48,2020-03-10,1.8670,2.2360,2.41%
49,2020-03-09,1.8230,2.1920,-4.05%
50,2020-03-06,1.9000,2.2690,-0.89%
51,2020-03-05,1.9170,2.2860,1.43%
52,2020-03-04,1.8900,2.2590,0.37%
53,2020-03-03,1.8830,2.2520,1.02%
54,2020-03-02,1.8640,2.2330,3.50%
55,2020-02-28,1.8010,2.1700,-4.66%
56,2020-02-27,1.8890,2.2580,0.32%
57,2020-02-26,1.8830,2.2520,-2.23%
58,2020-02-25,1.9260,2.2950,0.78%
59,2020-02-24,1.9110,2.2800,1.27%
60,2020-02-21,1.8870,2.2560,1.29%
61,2020-02-20,1.8630,2.2320,1.75%
62,2020-02-19,1.8310,2.2000,-0.49%
63,2020-02-18,1.8400,2.2090,0.99%
64,2020-02-17,1.8220,2.1910,3.00%
65,2020-02-14,1.7690,2.1380,0.17%
66,2020-02-13,1.7660,2.1350,-0.62%
67,2020-02-12,1.7770,2.1460,1.20%
68,2020-02-11,1.7560,2.1250,-0.17%
69,2020-02-10,1.7590,2.1280,1.03%
70,2020-02-07,1.7410,2.1100,0.69%
71,2020-02-06,1.7290,2.0980,2.79%
72,2020-02-05,1.6820,2.0510,1.88%
73,2020-02-04,1.6510,2.0200,2.10%
74,2020-02-03,1.6170,1.9860,-8.02%
75,2020-01-23,1.7580,2.1270,-3.19%
76,2020-01-22,1.8160,2.1850,0.83%
77,2020-01-21,1.8010,2.1700,-0.94%
78,2020-01-20,1.8180,2.1870,1.45%
79,2020-01-17,1.7920,2.1610,-0.17%
80,2020-01-16,1.7950,2.1640,0.11%
81,2020-01-15,1.7930,2.1620,-0.06%
82,2020-01-14,1.7940,2.1630,-0.22%
83,2020-01-13,1.7980,2.1670,1.41%
84,2020-01-10,1.7730,2.1420,0.11%
85,2020-01-09,1.7710,2.1400,1.26%
86,2020-01-08,1.7490,2.1180,-1.24%
87,2020-01-07,1.7710,2.1400,1.26%
88,2020-01-06,1.7490,2.1180,0.75%
89,2020-01-03,1.7360,2.1050,0.06%
90,2020-01-02,1.7350,2.1040,1.82%
91,2019-12-31,1.7040,2.0730,0.59%
92,2019-12-30,1.6940,2.0630,1.19%
93,2019-12-27,1.6740,2.0430,-0.59%
94,2019-12-26,1.6840,2.0530,0.60%
95,2019-12-25,1.6740,2.0430,0.36%
96,2019-12-24,1.6680,2.0370,1.21%
97,2019-12-23,1.6480,2.0170,-1.85%
98,2019-12-20,1.6790,2.0480,-0.94%
99,2019-12-19,1.6950,2.0640,0.06%
100,2019-12-18,1.6940,2.0630,-0.18%
101,2019-12-17,1.6970,2.0660,1.07%
102,2019-12-16,1.6790,2.0480,1.76%
103,2019-12-13,1.6500,2.0190,1.29%
104,2019-12-12,1.6290,1.9980,-0.24%
105,2019-12-11,1.6330,2.0020,-0.18%
106,2019-12-10,1.6360,2.0050,0.37%
107,2019-12-09,1.6300,1.9990,0.43%
108,2019-12-06,1.6230,1.9920,0.68%
109,2019-12-05,1.6120,1.9810,0.81%
110,2019-12-04,1.5990,1.9680,-0.12%
111,2019-12-03,1.6010,1.9700,0.57%
112,2019-12-02,1.5920,1.9610,0.13%
113,2019-11-29,1.5900,1.9590,0.25%
114,2019-11-28,1.5860,1.9550,-0.50%
115,2019-11-27,1.5940,1.9630,0.25%
116,2019-11-26,1.5900,1.9590,-0.19%
117,2019-11-25,1.5930,1.9620,0.31%
118,2019-11-22,1.5880,1.9570,-1.06%
119,2019-11-21,1.6050,1.9740,0.00%
120,2019-11-20,1.6050,1.9740,-0.56%
121,2019-11-19,1.6140,1.9830,1.70%
122,2019-11-18,1.5870,1.9560,0.70%
123,2019-11-15,1.5760,1.9450,-0.82%
124,2019-11-14,1.5890,1.9580,0.76%
125,2019-11-13,1.5770,1.9460,0.13%
126,2019-11-12,1.5750,1.9440,0.06%
127,2019-11-11,1.5740,1.9430,-2.24%
128,2019-11-08,1.6100,1.9790,-0.62%
129,2019-11-07,1.6200,1.9890,0.56%
130,2019-11-06,1.6110,1.9800,-0.98%
131,2019-11-05,1.6270,1.9960,0.68%
132,2019-11-04,1.6160,1.9850,0.37%
133,2019-11-01,1.6100,1.9790,0.81%
134,2019-10-31,1.5970,1.9660,-0.75%
135,2019-10-30,1.6090,1.9780,-1.41%
136,2019-10-29,1.6320,2.0010,-1.39%
137,2019-10-28,1.6550,2.0240,1.60%
138,2019-10-25,1.6290,1.9980,0.93%
139,2019-10-24,1.6140,1.9830,-0.12%
140,2019-10-23,1.6160,1.9850,-0.68%
141,2019-10-22,1.6270,1.9960,0.99%
142,2019-10-21,1.6110,1.9800,-0.12%
143,2019-10-18,1.6130,1.9820,-1.29%
144,2019-10-17,1.6340,2.0030,-0.31%
145,2019-10-16,1.6390,2.0080,-0.49%
146,2019-10-15,1.6470,2.0160,-1.26%
147,2019-10-14,1.6680,2.0370,1.52%
148,2019-10-11,1.6430,2.0120,0.55%
149,2019-10-10,1.6340,2.0030,1.30%
150,2019-10-09,1.6130,1.9820,1.13%
151,2019-10-08,1.5950,1.9640,0.06%
152,2019-09-30,1.5940,1.9630,-1.18%
153,2019-09-27,1.6130,1.9820,0.81%
154,2019-09-26,1.6000,1.9690,-2.26%
155,2019-09-25,1.6370,2.0060,-1.39%
156,2019-09-24,1.6600,2.0290,0.12%
157,2019-09-23,1.6580,2.0270,-0.54%
158,2019-09-20,1.6670,2.0360,0.18%
159,2019-09-19,1.6640,2.0330,0.54%
160,2019-09-18,1.8430,2.0230,0.05%
161,2019-09-17,1.8420,2.0220,-1.60%
162,2019-09-16,1.8720,2.0520,0.11%
163,2019-09-12,1.8700,2.0500,0.43%
164,2019-09-11,1.8620,2.0420,-0.43%
165,2019-09-10,1.8700,2.0500,-0.32%
166,2019-09-09,1.8760,2.0560,2.07%
167,2019-09-06,1.8380,2.0180,0.22%
168,2019-09-05,1.8340,2.0140,0.66%
169,2019-09-04,1.8220,2.0020,1.00%
170,2019-09-03,1.8040,1.9840,0.45%
171,2019-09-02,1.7960,1.9760,2.51%
172,2019-08-30,1.7520,1.9320,-0.91%
173,2019-08-29,1.7680,1.9480,0.11%
174,2019-08-28,1.7660,1.9460,-0.23%
175,2019-08-27,1.7700,1.9500,1.55%
176,2019-08-26,1.7430,1.9230,-0.68%
177,2019-08-23,1.7550,1.9350,0.17%
178,2019-08-22,1.7520,1.9320,0.00%
179,2019-08-21,1.7520,1.9320,0.46%
180,2019-08-20,1.7440,1.9240,-0.17%
181,2019-08-19,1.7470,1.9270,2.95%
182,2019-08-16,1.6970,1.8770,0.24%
183,2019-08-15,1.6930,1.8730,0.47%
184,2019-08-14,1.6850,1.8650,0.72%
185,2019-08-13,1.6730,1.8530,-0.54%
186,2019-08-12,1.6820,1.8620,1.82%
187,2019-08-09,1.6520,1.8320,-1.02%
188,2019-08-08,1.6690,1.8490,0.60%
189,2019-08-07,1.6590,1.8390,-0.48%
190,2019-08-06,1.6670,1.8470,-1.77%
191,2019-08-05,1.6970,1.8770,-1.11%
192,2019-08-02,1.7160,1.8960,-1.04%
193,2019-08-01,1.7340,1.9140,-0.46%
194,2019-07-31,1.7420,1.9220,-0.34%
195,2019-07-30,1.7480,1.9280,0.52%
196,2019-07-29,1.7390,1.9190,-0.06%
197,2019-07-26,1.7400,1.9200,0.29%
198,2019-07-25,1.7350,1.9150,0.12%
199,2019-07-24,1.7330,1.9130,0.81%
200,2019-07-23,1.7190,1.8990,0.88%
201,2019-07-22,1.7040,1.8840,-1.39%
202,2019-07-19,1.7280,1.9080,0.70%
203,2019-07-18,1.7160,1.8960,-1.55%
204,2019-07-17,1.7430,1.9230,-0.06%
205,2019-07-16,1.7440,1.9240,0.23%
206,2019-07-15,1.7400,1.9200,1.16%
207,2019-07-12,1.7200,1.9000,0.41%
208,2019-07-11,1.7130,1.8930,0.18%
209,2019-07-10,1.7100,1.8900,-0.87%
210,2019-07-09,1.7250,1.9050,0.35%
211,2019-07-08,1.7190,1.8990,-2.83%
212,2019-07-05,1.7690,1.9490,0.57%
213,2019-07-04,1.7590,1.9390,-0.23%
214,2019-07-03,1.7630,1.9430,-0.56%
215,2019-07-02,1.7730,1.9530,-0.17%
216,2019-07-01,1.7760,1.9560,2.84%
217,2019-06-30,1.7270,1.9070,
218,2019-06-28,1.7270,1.9070,-0.97%
219,2019-06-27,1.7440,1.9240,1.04%
220,2019-06-26,1.7260,1.9060,-0.06%
221,2019-06-25,1.7270,1.9070,-0.92%
222,2019-06-24,1.7430,1.9230,0.00%
223,2019-06-21,1.7430,1.9230,1.51%
224,2019-06-20,1.7170,1.8970,1.96%
225,2019-06-19,1.6840,1.8640,1.20%
226,2019-06-18,1.6640,1.8440,-0.18%
227,2019-06-17,1.6670,1.8470,-0.24%
228,2019-06-14,1.6710,1.8510,-1.59%
229,2019-06-13,1.6980,1.8780,0.24%
230,2019-06-12,1.6940,1.8740,-0.70%
231,2019-06-11,1.7060,1.8860,3.39%
232,2019-06-10,1.6500,1.8300,0.86%
233,2019-06-06,1.6360,1.8160,-1.80%
234,2019-06-05,1.6660,1.8460,-0.30%
235,2019-06-04,1.6710,1.8510,-0.89%
236,2019-06-03,1.6860,1.8660,-1.17%
237,2019-05-31,1.7060,1.8860,0.00%
238,2019-05-30,1.7060,1.8860,-0.58%
239,2019-05-29,1.7160,1.8960,0.12%
240,2019-05-28,1.7140,1.8940,-0.12%
241,2019-05-27,1.7160,1.8960,2.26%
242,2019-05-24,1.6780,1.8580,-0.53%
243,2019-05-23,1.6870,1.8670,-1.80%
244,2019-05-22,1.7180,1.8980,-0.58%
245,2019-05-21,1.7280,1.9080,1.59%
246,2019-05-20,1.7010,1.8810,-0.76%
247,2019-05-17,1.7140,1.8940,-2.89%
248,2019-05-16,1.7650,1.9450,0.63%
249,2019-05-15,1.7540,1.9340,2.10%
250,2019-05-14,1.7180,1.8980,-0.64%
251,2019-05-13,1.7290,1.9090,-1.20%
252,2019-05-10,1.7500,1.9300,3.18%
253,2019-05-09,1.6960,1.8760,-1.11%
254,2019-05-08,1.7150,1.8950,-0.52%
255,2019-05-07,1.7240,1.9040,1.00%
256,2019-05-06,1.7070,1.8870,-6.82%
257,2019-04-30,1.8320,2.0120,0.71%
258,2019-04-29,1.8190,1.9990,-1.94%
259,2019-04-26,1.8550,2.0350,-0.75%
260,2019-04-25,1.8690,2.0490,-3.36%
261,2019-04-24,1.9340,2.1140,0.94%
262,2019-04-23,1.9160,2.0960,-1.69%
263,2019-04-22,1.9490,2.1290,-1.57%
264,2019-04-19,1.9800,2.1600,0.51%
265,2019-04-18,1.9700,2.1500,-0.40%
266,2019-04-17,1.9780,2.1580,0.15%
267,2019-04-16,1.9750,2.1550,1.86%
268,2019-04-15,1.9390,2.1190,-0.87%
269,2019-04-12,1.9560,2.1360,0.05%
270,2019-04-11,1.9550,2.1350,-2.10%
271,2019-04-10,1.9970,2.1770,-0.05%
272,2019-04-09,1.9980,2.1780,0.15%
273,2019-04-08,1.9950,2.1750,-0.25%
274,2019-04-04,2.0000,2.1800,0.40%
275,2019-04-03,1.9920,2.1720,1.01%
276,2019-04-02,1.9720,2.1520,0.31%
277,2019-04-01,1.9660,2.1460,3.75%
278,2019-03-29,1.8950,2.0750,3.21%
279,2019-03-28,1.8360,2.0160,-1.40%
280,2019-03-27,1.8620,2.0420,1.14%
281,2019-03-26,1.8410,2.0210,-2.49%
282,2019-03-25,1.8880,2.0680,-1.15%
283,2019-03-22,1.9100,2.0900,0.58%
284,2019-03-21,1.8990,2.0790,1.01%
285,2019-03-20,1.8800,2.0600,0.00%
286,2019-03-19,1.8800,2.0600,0.32%
287,2019-03-18,1.8740,2.0540,2.74%
288,2019-03-15,1.8240,2.0040,1.28%
289,2019-03-14,1.8010,1.9810,-1.75%
290,2019-03-13,1.8330,2.0130,-1.93%
291,2019-03-12,1.8690,2.0490,1.52%
292,2019-03-11,1.8410,2.0210,4.25%
293,2019-03-08,1.7660,1.9460,-3.60%
294,2019-03-07,1.8320,2.0120,0.22%
295,2019-03-06,1.8280,2.0080,1.27%
296,2019-03-05,1.8050,1.9850,2.27%
297,2019-03-04,1.7650,1.9450,1.61%
298,2019-03-01,1.7370,1.9170,0.81%
299,2019-02-28,1.7230,1.9030,0.53%
300,2019-02-27,1.7140,1.8940,-0.70%
301,2019-02-26,1.7260,1.9060,-0.12%
302,2019-02-25,1.7280,1.9080,4.66%
303,2019-02-22,1.6510,1.8310,2.17%
304,2019-02-21,1.6160,1.7960,-0.37%
305,2019-02-20,1.6220,1.8020,0.19%
306,2019-02-19,1.6190,1.7990,-0.12%
307,2019-02-18,1.6210,1.8010,3.38%
308,2019-02-15,1.5680,1.7480,-0.70%
309,2019-02-14,1.5790,1.7590,0.32%
310,2019-02-13,1.5740,1.7540,1.22%
311,2019-02-12,1.5550,1.7350,0.78%
312,2019-02-11,1.5430,1.7230,2.46%
313,2019-02-01,1.5060,1.6860,2.10%
314,2019-01-31,1.4750,1.6550,-0.67%
315,2019-01-30,1.4850,1.6650,-0.60%
316,2019-01-29,1.4940,1.6740,-0.66%
317,2019-01-28,1.5040,1.6840,0.00%
318,2019-01-25,1.5040,1.6840,0.07%
319,2019-01-24,1.5030,1.6830,0.40%
320,2019-01-23,1.4970,1.6770,0.34%
321,2019-01-22,1.4920,1.6720,-1.32%
322,2019-01-21,1.5120,1.6920,0.73%
323,2019-01-18,1.5010,1.6810,1.15%
324,2019-01-17,1.4840,1.6640,-0.80%
325,2019-01-16,1.4960,1.6760,-0.07%
326,2019-01-15,1.4970,1.6770,1.35%
327,2019-01-14,1.4770,1.6570,-0.54%
328,2019-01-11,1.4850,1.6650,0.61%
329,2019-01-10,1.4760,1.6560,-0.07%
330,2019-01-09,1.4770,1.6570,0.34%
331,2019-01-08,1.4720,1.6520,-0.20%
332,2019-01-07,1.4750,1.6550,1.58%
333,2019-01-04,1.4520,1.6320,2.33%
334,2019-01-03,1.4190,1.5990,-0.63%
335,2019-01-02,1.4280,1.6080,-1.11%
336,2018-12-31,1.4440,1.6240,
337,2018-12-28,1.4440,1.6240,0.00%
338,2018-12-27,1.4440,1.6240,-1.03%
339,2018-12-26,1.4590,1.6390,-0.41%
340,2018-12-25,1.4650,1.6450,-1.01%
341,2018-12-24,1.4800,1.6600,1.02%
342,2018-12-21,1.4650,1.6450,-0.61%
343,2018-12-20,1.4740,1.6540,0.27%
344,2018-12-19,1.4700,1.6500,-1.47%
345,2018-12-18,1.4920,1.6720,-0.67%
346,2018-12-17,1.5020,1.6820,-0.60%
347,2018-12-14,1.5110,1.6910,-2.07%
348,2018-12-13,1.5430,1.7230,1.25%
349,2018-12-12,1.5240,1.7040,0.13%
350,2018-12-11,1.5220,1.7020,0.73%
351,2018-12-10,1.5110,1.6910,-1.11%
352,2018-12-07,1.5280,1.7080,0.00%
353,2018-12-06,1.5280,1.7080,-2.11%
354,2018-12-05,1.5610,1.7410,-0.38%
355,2018-12-04,1.5670,1.7470,0.38%
356,2018-12-03,1.5610,1.7410,2.83%
357,2018-11-30,1.5180,1.6980,0.66%
358,2018-11-29,1.5080,1.6880,-1.89%
359,2018-11-28,1.5370,1.7170,1.25%
360,2018-11-27,1.5180,1.6980,0.46%
361,2018-11-26,1.5110,1.6910,-0.33%
362,2018-11-23,1.5160,1.6960,-3.25%
363,2018-11-22,1.5670,1.7470,-0.25%
364,2018-11-21,1.5710,1.7510,0.26%
365,2018-11-20,1.5670,1.7470,-2.61%
366,2018-11-19,1.6090,1.7890,0.44%
367,2018-11-16,1.6020,1.7820,0.69%
368,2018-11-15,1.5910,1.7710,1.32%
369,2018-11-14,1.7480,1.7480,-0.57%
370,2018-11-13,1.7580,1.7580,1.38%
371,2018-11-12,1.7340,1.7340,2.18%
372,2018-11-09,1.6970,1.6970,-0.12%
373,2018-11-08,1.6990,1.6990,-0.93%
374,2018-11-07,1.7150,1.7150,-0.46%
375,2018-11-06,1.7230,1.7230,0.06%
376,2018-11-05,1.7220,1.7220,-0.06%
377,2018-11-02,1.7230,1.7230,3.11%
378,2018-11-01,1.6710,1.6710,0.66%
379,2018-10-31,1.6600,1.6600,1.47%
380,2018-10-30,1.6360,1.6360,0.93%
381,2018-10-29,1.6210,1.6210,-1.82%
382,2018-10-26,1.6510,1.6510,-0.36%
383,2018-10-25,1.6570,1.6570,-0.12%
384,2018-10-24,1.6590,1.6590,-0.42%
385,2018-10-23,1.6660,1.6660,-1.83%
386,2018-10-22,1.6970,1.6970,4.88%
387,2018-10-19,1.6180,1.6180,3.19%
388,2018-10-18,1.5680,1.5680,-2.67%
389,2018-10-17,1.6110,1.6110,0.62%
390,2018-10-16,1.6010,1.6010,-2.38%
391,2018-10-15,1.6400,1.6400,-1.86%
392,2018-10-12,1.6710,1.6710,-0.12%
393,2018-10-11,1.6730,1.6730,-6.27%
394,2018-10-10,1.7850,1.7850,0.00%
395,2018-10-09,1.7850,1.7850,0.00%
396,2018-10-08,1.7850,1.7850,-3.30%
397,2018-09-28,1.8460,1.8460,0.87%
398,2018-09-27,1.8300,1.8300,-0.81%
399,2018-09-26,1.8450,1.8450,0.49%
400,2018-09-25,1.8360,1.8360,-0.43%
401,2018-09-21,1.8440,1.8440,1.54%
402,2018-09-20,1.8160,1.8160,-0.11%
403,2018-09-19,1.8180,1.8180,1.22%
404,2018-09-18,1.7960,1.7960,1.93%
405,2018-09-17,1.7620,1.7620,-1.45%
406,2018-09-14,1.7880,1.7880,-1.00%
407,2018-09-13,1.8060,1.8060,0.73%
408,2018-09-12,1.7930,1.7930,-0.39%
409,2018-09-11,1.8000,1.8000,-0.28%
410,2018-09-10,1.8050,1.8050,-1.74%
411,2018-09-07,1.8370,1.8370,0.05%
412,2018-09-06,1.8360,1.8360,-0.54%
413,2018-09-05,1.8460,1.8460,-1.70%
414,2018-09-04,1.8780,1.8780,0.81%
415,2018-09-03,1.8630,1.8630,0.38%
416,2018-08-31,1.8560,1.8560,-0.96%
417,2018-08-30,1.8740,1.8740,-1.42%
418,2018-08-29,1.9010,1.9010,-0.63%
419,2018-08-28,1.9130,1.9130,0.31%
420,2018-08-27,1.9070,1.9070,2.42%
421,2018-08-24,1.8620,1.8620,-0.32%
422,2018-08-23,1.8680,1.8680,0.32%
423,2018-08-22,1.8620,1.8620,-0.96%
424,2018-08-21,1.8800,1.8800,1.24%
425,2018-08-20,1.8570,1.8570,0.60%
426,2018-08-17,1.8460,1.8460,-1.55%
427,2018-08-16,1.8750,1.8750,-0.95%
428,2018-08-15,1.8930,1.8930,-1.87%
429,2018-08-14,1.9290,1.9290,-0.46%
430,2018-08-13,1.9380,1.9380,0.57%
431,2018-08-10,1.9270,1.9270,0.42%
432,2018-08-09,1.9190,1.9190,2.51%
433,2018-08-08,1.8720,1.8720,-1.58%
434,2018-08-07,1.9020,1.9020,2.53%
435,2018-08-06,1.8550,1.8550,-2.21%
436,2018-08-03,1.8970,1.8970,-0.94%
437,2018-08-02,1.9150,1.9150,-1.74%
438,2018-08-01,1.9490,1.9490,-1.81%
439,2018-07-31,1.9850,1.9850,0.05%
440,2018-07-30,1.9840,1.9840,-0.85%
441,2018-07-27,2.0010,2.0010,-0.35%
442,2018-07-26,2.0080,2.0080,-1.04%
443,2018-07-25,2.0290,2.0290,0.15%
444,2018-07-24,2.0260,2.0260,1.66%
445,2018-07-23,1.9930,1.9930,0.76%
446,2018-07-20,1.9780,1.9780,1.07%
447,2018-07-19,1.9570,1.9570,-0.86%
448,2018-07-18,1.9740,1.9740,-0.90%
449,2018-07-17,1.9920,1.9920,-0.10%
450,2018-07-16,1.9940,1.9940,-0.10%
