,净值日期,单位净值,累计净值,日增长率
0,2020-05-21,1.0558,2.1819,0.70%
1,2020-05-20,1.0485,2.1746,-0.78%
2,2020-05-19,1.0567,2.1828,0.75%
3,2020-05-18,1.0488,2.1749,2.87%
4,2020-05-15,1.0195,2.1456,-1.23%
5,2020-05-14,1.0322,2.1583,-0.15%
6,2020-05-13,1.0337,2.1598,2.53%
7,2020-05-12,1.0082,2.1343,0.33%
8,2020-05-11,1.0049,2.1310,0.28%
9,2020-05-08,1.0021,2.1282,0.99%
10,2020-05-07,0.9923,2.1184,1.19%
11,2020-05-06,0.9806,2.1067,0.74%
12,2020-04-30,0.9734,2.0995,0.28%
13,2020-04-29,0.9707,2.0968,-1.24%
14,2020-04-28,0.9829,2.1090,2.82%
15,2020-04-27,0.9559,2.0820,-0.76%
16,2020-04-24,0.9632,2.0893,1.07%
17,2020-04-23,0.9530,2.0791,0.23%
18,2020-04-22,0.9508,2.0769,2.80%
19,2020-04-21,0.9249,2.0510,-2.30%
20,2020-04-20,0.9467,2.0728,0.49%
21,2020-04-17,0.9421,2.0682,1.41%
22,2020-04-16,0.9290,2.0551,-0.96%
23,2020-04-15,0.9380,2.0641,-0.18%
24,2020-04-14,0.9397,2.0658,1.28%
25,2020-04-13,0.9278,2.0539,-0.08%
26,2020-04-10,0.9285,2.0546,1.15%
27,2020-04-09,0.9179,2.0440,0.54%
28,2020-04-08,0.9130,2.0391,-0.01%
29,2020-04-07,0.9131,2.0392,2.61%
30,2020-04-03,0.8899,2.0160,-0.24%
31,2020-04-02,0.8920,2.0181,1.29%
32,2020-04-01,0.8806,2.0067,-0.68%
33,2020-03-31,0.8866,2.0127,1.87%
34,2020-03-30,0.8703,1.9964,-1.89%
35,2020-03-27,0.8871,2.0132,2.32%
36,2020-03-26,0.8670,1.9931,-0.09%
37,2020-03-25,0.8678,1.9939,2.91%
38,2020-03-24,0.8433,1.9694,3.78%
39,2020-03-23,0.8126,1.9387,-2.97%
40,2020-03-20,0.8375,1.9636,3.27%
41,2020-03-19,0.8110,1.9371,-3.38%
42,2020-03-18,0.8394,1.9655,-2.66%
43,2020-03-17,0.8623,1.9884,-2.10%
44,2020-03-16,0.8808,2.0069,-4.02%
45,2020-03-13,0.9177,2.0438,-1.83%
46,2020-03-12,0.9348,2.0609,-2.35%
47,2020-03-11,0.9573,2.0834,-0.25%
48,2020-03-10,0.9597,2.0858,2.85%
49,2020-03-09,0.9331,2.0592,-3.74%
50,2020-03-06,0.9694,2.0955,-2.28%
51,2020-03-05,0.9920,2.1181,5.03%
52,2020-03-04,0.9445,2.0706,0.79%
53,2020-03-03,0.9371,2.0632,0.68%
54,2020-03-02,0.9308,2.0569,2.45%
55,2020-02-28,0.9085,2.0346,-4.09%
56,2020-02-27,0.9472,2.0733,1.16%
57,2020-02-26,0.9363,2.0624,-0.85%
58,2020-02-25,0.9443,2.0704,-0.83%
59,2020-02-24,0.9522,2.0783,-1.85%
60,2020-02-21,0.9701,2.0962,-0.26%
61,2020-02-20,0.9726,2.0987,3.51%
62,2020-02-19,0.9396,2.0657,1.22%
63,2020-02-18,0.9283,2.0544,-0.51%
64,2020-02-17,0.9331,2.0592,0.80%
65,2020-02-14,0.9257,2.0518,-0.25%
66,2020-02-13,0.9280,2.0541,-0.75%
67,2020-02-12,0.9350,2.0611,0.28%
68,2020-02-11,0.9324,2.0585,2.33%
69,2020-02-10,0.9112,2.0373,0.23%
70,2020-02-07,0.9091,2.0352,0.85%
71,2020-02-06,0.9014,2.0275,0.99%
72,2020-02-05,0.8926,2.0187,1.33%
73,2020-02-04,0.8809,2.0070,-0.63%
74,2020-02-03,0.8865,2.0126,-8.37%
75,2020-01-23,0.9675,2.0936,-3.66%
76,2020-01-22,1.0043,2.1304,0.37%
77,2020-01-21,1.0006,2.1267,-2.81%
78,2020-01-20,1.0295,2.1556,-1.02%
