,净值日期,单位净值,累计净值,日增长率
0,2020-05-21,1.2164,1.2164,-0.12%
1,2020-05-20,1.2179,1.2179,-0.36%
2,2020-05-19,1.2223,1.2223,0.71%
3,2020-05-18,1.2137,1.2137,1.76%
4,2020-05-15,1.1927,1.1927,-0.95%
5,2020-05-14,1.2041,1.2041,-1.00%
6,2020-05-13,1.2163,1.2163,1.74%
7,2020-05-12,1.1955,1.1955,0.95%
8,2020-05-11,1.1843,1.1843,-0.51%
9,2020-05-08,1.1904,1.1904,1.09%
10,2020-05-07,1.1776,1.1776,0.87%
11,2020-05-06,1.1674,1.1674,0.46%
12,2020-04-30,1.1621,1.1621,-0.03%
13,2020-04-29,1.1625,1.1625,-0.84%
14,2020-04-28,1.1724,1.1724,1.50%
15,2020-04-27,1.1551,1.1551,1.20%
16,2020-04-24,1.1414,1.1414,-0.16%
17,2020-04-23,1.1432,1.1432,0.27%
18,2020-04-22,1.1401,1.1401,2.37%
19,2020-04-21,1.1137,1.1137,-1.50%
20,2020-04-20,1.1307,1.1307,0.81%
21,2020-04-17,1.1216,1.1216,1.17%
22,2020-04-16,1.1086,1.1086,0.07%
23,2020-04-15,1.1078,1.1078,-0.87%
24,2020-04-14,1.1175,1.1175,2.03%
25,2020-04-13,1.0953,1.0953,-0.15%
26,2020-04-10,1.0969,1.0969,0.31%
27,2020-04-09,1.0935,1.0935,0.93%
28,2020-04-08,1.0834,1.0834,-0.94%
29,2020-04-07,1.0937,1.0937,2.89%
30,2020-04-03,1.0630,1.0630,0.43%
31,2020-04-02,1.0584,1.0584,1.48%
32,2020-04-01,1.0430,1.0430,-0.38%
33,2020-03-31,1.0470,1.0470,2.82%
34,2020-03-30,1.0183,1.0183,-1.45%
35,2020-03-27,1.0333,1.0333,-0.10%
36,2020-03-26,1.0343,1.0343,-0.42%
37,2020-03-25,1.0387,1.0387,3.14%
38,2020-03-24,1.0071,1.0071,3.60%
39,2020-03-23,0.9721,0.9721,-3.22%
40,2020-03-20,1.0044,1.0044,3.60%
41,2020-03-19,0.9695,0.9695,-1.84%
42,2020-03-18,0.9877,0.9877,-1.28%
43,2020-03-17,1.0005,1.0005,-0.91%
44,2020-03-16,1.0097,1.0097,-5.37%
45,2020-03-13,1.0670,1.0670,-1.08%
46,2020-03-12,1.0786,1.0786,-3.03%
47,2020-03-11,1.1123,1.1123,-0.67%
48,2020-03-10,1.1198,1.1198,1.78%
49,2020-03-09,1.1002,1.1002,-3.00%
50,2020-03-06,1.1342,1.1342,-1.81%
51,2020-03-05,1.1551,1.1551,3.62%
52,2020-03-04,1.1148,1.1148,0.70%
53,2020-03-03,1.1071,1.1071,0.73%
