,净值日期,单位净值,累计净值,日增长率
0,2020-05-21,2.1506,2.1506,-0.77%
1,2020-05-20,2.1672,2.1672,-0.27%
2,2020-05-19,2.1730,2.1730,0.77%
3,2020-05-18,2.1563,2.1563,-0.14%
4,2020-05-15,2.1594,2.1594,-0.12%
5,2020-05-14,2.1621,2.1621,-1.05%
6,2020-05-13,2.1851,2.1851,0.05%
7,2020-05-12,2.1841,2.1841,-0.19%
8,2020-05-11,2.1882,2.1882,0.31%
9,2020-05-08,2.1814,2.1814,1.71%
10,2020-05-07,2.1447,2.1447,-0.45%
11,2020-05-06,2.1545,2.1545,0.82%
12,2020-04-30,2.1369,2.1369,1.54%
13,2020-04-29,2.1045,2.1045,0.73%
14,2020-04-28,2.0893,2.0893,0.43%
15,2020-04-27,2.0803,2.0803,0.31%
16,2020-04-24,2.0738,2.0738,-0.61%
17,2020-04-23,2.0866,2.0866,-0.30%
18,2020-04-22,2.0928,2.0928,0.76%
19,2020-04-21,2.0770,2.0770,-1.27%
20,2020-04-20,2.1038,2.1038,0.12%
21,2020-04-17,2.1012,2.1012,0.78%
22,2020-04-16,2.0849,2.0849,-0.34%
23,2020-04-15,2.0921,2.0921,-0.89%
24,2020-04-14,2.1108,2.1108,1.39%
25,2020-04-13,2.0818,2.0818,0.10%
26,2020-04-10,2.0798,2.0798,-0.19%
27,2020-04-09,2.0837,2.0837,0.00%
28,2020-04-08,2.0838,2.0838,-0.68%
29,2020-04-07,2.0981,2.0981,2.29%
30,2020-04-03,2.0511,2.0511,-0.81%
31,2020-04-02,2.0678,2.0678,1.16%
32,2020-04-01,2.0440,2.0440,0.31%
33,2020-03-31,2.0377,2.0377,0.21%
34,2020-03-30,2.0334,2.0334,-1.47%
35,2020-03-27,2.0637,2.0637,0.44%
36,2020-03-26,2.0547,2.0547,-1.15%
37,2020-03-25,2.0786,2.0786,3.04%
38,2020-03-24,2.0172,2.0172,2.63%
39,2020-03-23,1.9656,1.9656,-4.00%
40,2020-03-20,2.0476,2.0476,1.70%
41,2020-03-19,2.0133,2.0133,-1.30%
42,2020-03-18,2.0398,2.0398,-2.17%
43,2020-03-17,2.0851,2.0851,-1.11%
44,2020-03-16,2.1085,2.1085,-4.52%
45,2020-03-13,2.2082,2.2082,-1.39%
46,2020-03-12,2.2394,2.2394,-2.15%
47,2020-03-11,2.2887,2.2887,-1.49%
48,2020-03-10,2.3233,2.3233,1.91%
49,2020-03-09,2.2797,2.2797,-3.46%
50,2020-03-06,2.3615,2.3615,-1.61%
51,2020-03-05,2.4001,2.4001,2.41%
52,2020-03-04,2.3436,2.3436,0.76%
53,2020-03-03,2.3260,2.3260,-0.01%
54,2020-03-02,2.3263,2.3263,3.82%
55,2020-02-28,2.2407,2.2407,-3.72%
56,2020-02-27,2.3273,2.3273,-0.10%
57,2020-02-26,2.3296,2.3296,-1.04%
58,2020-02-25,2.3542,2.3542,-0.06%
59,2020-02-24,2.3555,2.3555,0.02%
60,2020-02-21,2.3550,2.3550,-0.36%
61,2020-02-20,2.3635,2.3635,2.77%
62,2020-02-19,2.2998,2.2998,0.08%
63,2020-02-18,2.2979,2.2979,-0.24%
64,2020-02-17,2.3035,2.3035,2.19%
65,2020-02-14,2.2542,2.2542,0.71%
66,2020-02-13,2.2382,2.2382,-0.25%
67,2020-02-12,2.2439,2.2439,0.23%
68,2020-02-11,2.2388,2.2388,1.21%
69,2020-02-10,2.2121,2.2121,1.15%
70,2020-02-07,2.1869,2.1869,-0.45%
71,2020-02-06,2.1967,2.1967,1.93%
72,2020-02-05,2.1551,2.1551,1.10%
73,2020-02-04,2.1317,2.1317,3.04%
74,2020-02-03,2.0688,2.0688,-8.47%
75,2020-01-23,2.2603,2.2603,-3.41%
76,2020-01-22,2.3400,2.3400,0.62%
77,2020-01-21,2.3256,2.3256,-2.27%
78,2020-01-20,2.3797,2.3797,0.61%
79,2020-01-17,2.3653,2.3653,-0.05%
80,2020-01-16,2.3664,2.3664,-0.45%
81,2020-01-15,2.3771,2.3771,-0.71%
82,2020-01-14,2.3940,2.3940,-0.46%
83,2020-01-13,2.4050,2.4050,1.01%
84,2020-01-10,2.3810,2.3810,-0.36%
85,2020-01-09,2.3897,2.3897,1.43%
86,2020-01-08,2.3560,2.3560,-0.57%
87,2020-01-07,2.3694,2.3694,0.98%
88,2020-01-06,2.3464,2.3464,-0.95%
89,2020-01-03,2.3689,2.3689,-0.17%
90,2020-01-02,2.3729,2.3729,1.96%
91,2019-12-31,2.3274,2.3274,0.36%
92,2019-12-30,2.3191,2.3191,1.36%
93,2019-12-27,2.2880,2.2880,-0.35%
94,2019-12-26,2.2960,2.2960,1.01%
95,2019-12-25,2.2730,2.2730,-0.05%
96,2019-12-24,2.2741,2.2741,0.63%
97,2019-12-23,2.2598,2.2598,-1.25%
98,2019-12-20,2.2885,2.2885,0.01%
99,2019-12-19,2.2883,2.2883,0.37%
100,2019-12-18,2.2798,2.2798,-0.01%
101,2019-12-17,2.2801,2.2801,1.78%
102,2019-12-16,2.2403,2.2403,1.21%
103,2019-12-13,2.2135,2.2135,1.66%
104,2019-12-12,2.1774,2.1774,-0.16%
