,净值日期,单位净值,累计净值,日增长率
0,2020-05-21,1.0740,1.0740,-0.19%
1,2020-05-20,1.0760,1.0760,-0.74%
2,2020-05-19,1.0840,1.0840,1.50%
3,2020-05-18,1.0680,1.0680,1.42%
4,2020-05-15,1.0530,1.0530,-0.66%
5,2020-05-14,1.0600,1.0600,-0.75%
6,2020-05-13,1.0680,1.0680,1.42%
7,2020-05-12,1.0530,1.0530,0.96%
8,2020-05-11,1.0430,1.0430,-0.10%
9,2020-05-08,1.0440,1.0440,0.87%
10,2020-05-07,1.0350,1.0350,0.49%
11,2020-05-06,1.0300,1.0300,0.59%
12,2020-04-30,1.0240,1.0240,0.39%
13,2020-04-29,1.0200,1.0200,-0.78%
14,2020-04-28,1.0280,1.0280,2.29%
15,2020-04-27,1.0050,1.0050,0.60%
16,2020-04-24,0.9990,0.9990,-0.70%
17,2020-04-23,1.0060,1.0060,0.80%
18,2020-04-22,0.9980,0.9980,1.63%
19,2020-04-21,0.9820,0.9820,-1.41%
20,2020-04-20,0.9960,0.9960,0.30%
21,2020-04-17,0.9930,0.9930,0.91%
22,2020-04-16,0.9840,0.9840,0.10%
23,2020-04-15,0.9830,0.9830,-0.30%
24,2020-04-14,0.9860,0.9860,1.54%
25,2020-04-13,0.9710,0.9710,-0.51%
26,2020-04-10,0.9760,0.9760,0.00%
27,2020-04-09,0.9760,0.9760,0.83%
28,2020-04-08,0.9680,0.9680,-0.41%
29,2020-04-07,0.9720,0.9720,2.21%
30,2020-04-03,0.9510,0.9510,-0.21%
31,2020-04-02,0.9530,0.9530,1.60%
32,2020-04-01,0.9380,0.9380,0.11%
33,2020-03-31,0.9370,0.9370,1.85%
34,2020-03-30,0.9200,0.9200,-2.23%
35,2020-03-27,0.9410,0.9410,-0.11%
36,2020-03-26,0.9420,0.9420,0.00%
37,2020-03-25,0.9420,0.9420,3.18%
38,2020-03-24,0.9130,0.9130,3.28%
39,2020-03-23,0.8840,0.8840,-3.39%
40,2020-03-20,0.9150,0.9150,2.58%
41,2020-03-19,0.8920,0.8920,-2.41%
42,2020-03-18,0.9140,0.9140,-1.61%
43,2020-03-17,0.9290,0.9290,-0.43%
44,2020-03-16,0.9330,0.9330,-4.50%
45,2020-03-13,0.9770,0.9770,-1.31%
46,2020-03-12,0.9900,0.9900,-2.37%
47,2020-03-11,1.0140,1.0140,-0.98%
48,2020-03-10,1.0240,1.0240,2.30%
49,2020-03-09,1.0010,1.0010,-3.56%
50,2020-03-06,1.0380,1.0380,-1.52%
51,2020-03-05,1.0540,1.0540,3.03%
52,2020-03-04,1.0230,1.0230,0.29%
53,2020-03-03,1.0200,1.0200,0.99%
54,2020-03-02,1.0100,1.0100,2.96%
55,2020-02-28,0.9810,0.9810,-3.35%
56,2020-02-27,1.0150,1.0150,1.10%
57,2020-02-26,1.0040,1.0040,-2.05%
58,2020-02-25,1.0250,1.0250,-0.68%
59,2020-02-24,1.0320,1.0320,-0.39%
60,2020-02-21,1.0360,1.0360,0.10%
61,2020-02-20,1.0350,1.0350,2.78%
62,2020-02-19,1.0070,1.0070,-0.59%
63,2020-02-18,1.0130,1.0130,-0.39%
64,2020-02-17,1.0170,1.0170,1.40%
65,2020-02-14,1.0030,1.0030,0.30%
66,2020-02-13,1.0000,1.0000,-0.60%
67,2020-02-12,1.0060,1.0060,0.80%
68,2020-02-11,0.9980,0.9980,1.11%
69,2020-02-10,0.9870,0.9870,0.82%
70,2020-02-07,0.9790,0.9790,0.72%
71,2020-02-06,0.9720,0.9720,2.86%
72,2020-02-05,0.9450,0.9450,2.16%
73,2020-02-04,0.9250,0.9250,2.10%
74,2020-02-03,0.9060,0.9060,-7.08%
75,2020-01-23,0.9750,0.9750,-3.18%
76,2020-01-22,1.0070,1.0070,-0.20%
77,2020-01-21,1.0090,1.0090,-0.88%
78,2020-01-20,1.0180,1.0180,0.30%
79,2020-01-17,1.0150,1.0150,0.10%
80,2020-01-16,1.0140,1.0140,0.20%
81,2020-01-15,1.0120,1.0120,0.00%
82,2020-01-14,1.0120,1.0120,-0.78%
83,2020-01-13,1.0200,1.0200,1.29%
84,2020-01-10,1.0070,1.0070,1.00%
