,净值日期,单位净值,累计净值,日增长率
0,2020-05-21,2.9940,4.0730,0.60%
1,2020-05-20,2.9760,4.0550,-1.06%
2,2020-05-19,3.0080,4.0870,1.79%
3,2020-05-18,2.9550,4.0340,0.99%
4,2020-05-15,2.9260,4.0050,0.03%
5,2020-05-14,2.9250,4.0040,-0.54%
6,2020-05-13,2.9410,4.0200,0.89%
7,2020-05-12,2.9150,3.9940,1.15%
8,2020-05-11,2.8820,3.9610,-0.28%
9,2020-05-08,2.8900,3.9690,0.49%
10,2020-05-07,2.8760,3.9550,1.70%
11,2020-05-06,2.8280,3.9070,0.86%
12,2020-04-30,2.8040,3.8830,-0.74%
13,2020-04-29,2.8250,3.9040,0.53%
14,2020-04-28,2.8100,3.8890,1.52%
15,2020-04-27,2.7680,3.8470,0.36%
16,2020-04-24,2.7580,3.8370,-0.65%
17,2020-04-23,2.7760,3.8550,0.33%
18,2020-04-22,2.7670,3.8460,1.54%
19,2020-04-21,2.7250,3.8040,-0.95%
20,2020-04-20,2.7510,3.8300,0.77%
21,2020-04-17,2.7300,3.8090,1.83%
22,2020-04-16,2.6810,3.7600,0.90%
23,2020-04-15,2.6570,3.7360,-0.86%
24,2020-04-14,2.6800,3.7590,1.32%
25,2020-04-13,2.6450,3.7240,0.53%
26,2020-04-10,2.6310,3.7100,-1.05%
27,2020-04-09,2.6590,3.7380,0.72%
28,2020-04-08,2.6400,3.7190,-0.23%
29,2020-04-07,2.6460,3.7250,2.60%
30,2020-04-03,2.5790,3.6580,-0.54%
31,2020-04-02,2.5930,3.6720,1.01%
32,2020-04-01,2.5670,3.6460,-0.35%
33,2020-03-31,2.5760,3.6550,1.14%
34,2020-03-30,2.5470,3.6260,-1.01%
35,2020-03-27,2.5730,3.6520,0.31%
36,2020-03-26,2.5650,3.6440,-0.23%
37,2020-03-25,2.5710,3.6500,1.78%
38,2020-03-24,2.5260,3.6050,2.64%
39,2020-03-23,2.4610,3.5400,-2.15%
40,2020-03-20,2.5150,3.5940,1.95%
41,2020-03-19,2.4670,3.5460,-1.20%
42,2020-03-18,2.4970,3.5760,-0.95%
43,2020-03-17,2.5210,3.6000,-0.83%
44,2020-03-16,2.5420,3.6210,-4.44%
45,2020-03-13,2.6600,3.7390,-0.41%
46,2020-03-12,2.6710,3.7500,-2.05%
47,2020-03-11,2.7270,3.8060,-0.80%
48,2020-03-10,2.7490,3.8280,1.74%
49,2020-03-09,2.7020,3.7810,-2.56%
50,2020-03-06,2.7730,3.8520,-0.57%
51,2020-03-05,2.7890,3.8680,2.46%
52,2020-03-04,2.7220,3.8010,1.34%
53,2020-03-03,2.6860,3.7650,0.34%
54,2020-03-02,2.6770,3.7560,2.33%
55,2020-02-28,2.6160,3.6950,-2.82%
56,2020-02-27,2.6920,3.7710,0.22%
57,2020-02-26,2.6860,3.7650,-1.50%
58,2020-02-25,2.7270,3.8060,-0.37%
59,2020-02-24,2.7370,3.8160,-0.29%
60,2020-02-21,2.7450,3.8240,-0.11%
61,2020-02-20,2.7480,3.8270,2.19%
62,2020-02-19,2.6890,3.7680,0.49%
63,2020-02-18,2.6760,3.7550,-0.07%
64,2020-02-17,2.6780,3.7570,1.29%
65,2020-02-14,2.6440,3.7230,0.34%
66,2020-02-13,2.6350,3.7140,-0.79%
67,2020-02-12,2.6560,3.7350,0.53%
68,2020-02-11,2.6420,3.7210,1.34%
69,2020-02-10,2.6070,3.6860,0.42%
70,2020-02-07,2.5960,3.6750,0.31%
71,2020-02-06,2.5880,3.6670,1.45%
72,2020-02-05,2.5510,3.6300,0.75%
73,2020-02-04,2.5320,3.6110,3.30%
74,2020-02-03,2.4510,3.5300,-5.91%
75,2020-01-23,2.6050,3.6840,-2.94%
76,2020-01-22,2.6840,3.7630,0.15%
77,2020-01-21,2.6800,3.7590,-1.87%
78,2020-01-20,2.7310,3.8100,-0.18%
79,2020-01-17,2.7360,3.8150,0.18%
80,2020-01-16,2.7310,3.8100,-0.07%
81,2020-01-15,2.7330,3.8120,-0.36%
82,2020-01-14,2.8060,3.8220,-0.46%
83,2020-01-13,2.8190,3.8350,0.57%
84,2020-01-10,2.8030,3.8190,0.14%
85,2020-01-09,2.7990,3.8150,1.23%
86,2020-01-08,2.7650,3.7810,-0.72%
87,2020-01-07,2.7850,3.8010,0.91%
88,2020-01-06,2.7600,3.7760,-0.40%
89,2020-01-03,2.7710,3.7870,-0.50%
90,2020-01-02,2.7850,3.8010,1.24%
91,2019-12-31,2.7510,3.7670,0.11%
92,2019-12-30,2.7480,3.7640,1.07%
93,2019-12-27,2.7190,3.7350,0.11%
94,2019-12-26,2.7160,3.7320,0.85%
95,2019-12-25,2.6930,3.7090,-0.11%
96,2019-12-24,2.6960,3.7120,0.22%
97,2019-12-23,2.6900,3.7060,-0.44%
98,2019-12-20,2.7020,3.7180,0.26%
99,2019-12-19,2.6950,3.7110,-0.44%
100,2019-12-18,2.7070,3.7230,-0.29%
101,2019-12-17,2.7150,3.7310,0.82%
102,2019-12-16,2.6930,3.7090,-0.11%
103,2019-12-13,2.6960,3.7120,1.47%
104,2019-12-12,2.6570,3.6730,-0.52%
105,2019-12-11,2.6710,3.6870,-0.30%
106,2019-12-10,2.6790,3.6950,0.41%
107,2019-12-09,2.6680,3.6840,-0.37%
108,2019-12-06,2.6780,3.6940,0.98%
109,2019-12-05,2.6520,3.6680,0.72%
110,2019-12-04,2.6330,3.6490,0.27%
111,2019-12-03,2.6260,3.6420,0.34%
112,2019-12-02,2.6170,3.6330,0.11%
