,净值日期,单位净值,累计净值,日增长率
0,2020-05-21,1.9420,1.9420,-1.72%
1,2020-05-20,1.9760,1.9760,-0.80%
2,2020-05-19,1.9920,1.9920,1.07%
3,2020-05-18,1.9710,1.9710,-0.71%
4,2020-05-15,1.9850,1.9850,-0.20%
5,2020-05-14,1.9890,1.9890,-0.35%
6,2020-05-13,1.9960,1.9960,0.15%
7,2020-05-12,1.9930,1.9930,0.61%
8,2020-05-11,1.9810,1.9810,-0.85%
9,2020-05-08,1.9980,1.9980,1.22%
10,2020-05-07,1.9740,1.9740,-0.55%
11,2020-05-06,1.9850,1.9850,0.10%
12,2020-04-30,1.9830,1.9830,2.91%
13,2020-04-29,1.9270,1.9270,1.10%
14,2020-04-28,1.9060,1.9060,0.53%
15,2020-04-27,1.8960,1.8960,0.21%
16,2020-04-24,1.8920,1.8920,-1.46%
17,2020-04-23,1.9200,1.9200,-1.18%
18,2020-04-22,1.9430,1.9430,0.83%
19,2020-04-21,1.9270,1.9270,-0.82%
20,2020-04-20,1.9430,1.9430,0.52%
21,2020-04-17,1.9330,1.9330,0.10%
22,2020-04-16,1.9310,1.9310,0.84%
23,2020-04-15,1.9150,1.9150,0.10%
24,2020-04-14,1.9130,1.9130,3.24%
25,2020-04-13,1.8530,1.8530,-2.16%
26,2020-04-10,1.8940,1.8940,-2.42%
27,2020-04-09,1.9410,1.9410,0.62%
28,2020-04-08,1.9290,1.9290,-0.21%
29,2020-04-07,1.9330,1.9330,3.09%
30,2020-04-03,1.8750,1.8750,-0.58%
31,2020-04-02,1.8860,1.8860,1.67%
32,2020-04-01,1.8550,1.8550,-0.43%
33,2020-03-31,1.8630,1.8630,-0.05%
34,2020-03-30,1.8640,1.8640,-3.32%
35,2020-03-27,1.9280,1.9280,-0.67%
36,2020-03-26,1.9410,1.9410,-0.67%
37,2020-03-25,1.9540,1.9540,3.28%
38,2020-03-24,1.8920,1.8920,2.94%
39,2020-03-23,1.8380,1.8380,-3.92%
40,2020-03-20,1.9130,1.9130,2.35%
41,2020-03-19,1.8690,1.8690,0.00%
42,2020-03-18,1.8690,1.8690,-2.10%
43,2020-03-17,1.9090,1.9090,-0.83%
44,2020-03-16,1.9250,1.9250,-5.45%
45,2020-03-13,2.0360,2.0360,-1.78%
46,2020-03-12,2.0730,2.0730,-2.81%
47,2020-03-11,2.1330,2.1330,-0.93%
48,2020-03-10,2.1530,2.1530,2.43%
49,2020-03-09,2.1020,2.1020,-3.75%
50,2020-03-06,2.1840,2.1840,-0.37%
51,2020-03-05,2.1920,2.1920,0.69%
52,2020-03-04,2.1770,2.1770,0.79%
53,2020-03-03,2.1600,2.1600,0.79%
54,2020-03-02,2.1430,2.1430,2.29%
55,2020-02-28,2.0950,2.0950,-5.20%
