,净值日期,单位净值,累计净值,日增长率
0,2020-05-21,1.8530,1.8530,-0.38%
1,2020-05-20,1.8600,1.8600,-0.48%
2,2020-05-19,1.8690,1.8690,0.48%
3,2020-05-18,1.8600,1.8600,-0.21%
4,2020-05-15,1.8640,1.8640,-0.05%
5,2020-05-14,1.8650,1.8650,-0.69%
6,2020-05-13,1.8780,1.8780,0.00%
7,2020-05-12,1.8780,1.8780,0.11%
8,2020-05-11,1.8760,1.8760,-0.05%
9,2020-05-08,1.8770,1.8770,0.48%
10,2020-05-07,1.8680,1.8680,-0.05%
11,2020-05-06,1.8690,1.8690,0.16%
12,2020-04-30,1.8660,1.8660,0.76%
13,2020-04-29,1.8520,1.8520,0.54%
14,2020-04-28,1.8420,1.8420,0.44%
15,2020-04-27,1.8340,1.8340,0.22%
16,2020-04-24,1.8300,1.8300,0.00%
17,2020-04-23,1.8300,1.8300,-0.27%
18,2020-04-22,1.8350,1.8350,0.33%
19,2020-04-21,1.8290,1.8290,-0.60%
20,2020-04-20,1.8400,1.8400,0.33%
21,2020-04-17,1.8340,1.8340,0.71%
22,2020-04-16,1.8210,1.8210,0.28%
23,2020-04-15,1.8160,1.8160,-0.22%
24,2020-04-14,1.8200,1.8200,0.94%
25,2020-04-13,1.8030,1.8030,-0.66%
26,2020-04-10,1.8150,1.8150,-0.33%
27,2020-04-09,1.8210,1.8210,-0.05%
28,2020-04-08,1.8220,1.8220,-0.05%
29,2020-04-07,1.8230,1.8230,1.33%
30,2020-04-03,1.7990,1.7990,-0.33%
31,2020-04-02,1.8050,1.8050,0.89%
32,2020-04-01,1.7890,1.7890,0.34%
33,2020-03-31,1.7830,1.7830,0.28%
34,2020-03-30,1.7780,1.7780,-0.78%
35,2020-03-27,1.7920,1.7920,0.22%
36,2020-03-26,1.7880,1.7880,-0.50%
37,2020-03-25,1.7970,1.7970,1.93%
38,2020-03-24,1.7630,1.7630,1.03%
39,2020-03-23,1.7450,1.7450,-2.30%
40,2020-03-20,1.7860,1.7860,0.68%
41,2020-03-19,1.7740,1.7740,-0.50%
42,2020-03-18,1.7830,1.7830,-0.78%
43,2020-03-17,1.7970,1.7970,-0.61%
44,2020-03-16,1.8080,1.8080,-2.59%
45,2020-03-13,1.8560,1.8560,-0.59%
46,2020-03-12,1.8670,1.8670,-1.11%
47,2020-03-11,1.8880,1.8880,-0.58%
48,2020-03-10,1.8990,1.8990,0.96%
49,2020-03-09,1.8810,1.8810,-1.62%
50,2020-03-06,1.9120,1.9120,-0.47%
51,2020-03-05,1.9210,1.9210,0.63%
52,2020-03-04,1.9090,1.9090,-0.16%
53,2020-03-03,1.9120,1.9120,-0.05%
54,2020-03-02,1.9130,1.9130,1.43%
55,2020-02-28,1.8860,1.8860,-1.41%
56,2020-02-27,1.9130,1.9130,0.42%
57,2020-02-26,1.9050,1.9050,-1.09%
58,2020-02-25,1.9260,1.9260,-0.05%
59,2020-02-24,1.9270,1.9270,0.42%
60,2020-02-21,1.9190,1.9190,0.63%
61,2020-02-20,1.9070,1.9070,0.90%
62,2020-02-19,1.8900,1.8900,-0.26%
63,2020-02-18,1.8950,1.8950,0.16%
64,2020-02-17,1.8920,1.8920,1.34%
65,2020-02-14,1.8670,1.8670,0.21%
66,2020-02-13,1.8630,1.8630,-0.48%
67,2020-02-12,1.8720,1.8720,0.38%
68,2020-02-11,1.8650,1.8650,0.87%
69,2020-02-10,1.8490,1.8490,0.49%
70,2020-02-07,1.8400,1.8400,0.22%
71,2020-02-06,1.8360,1.8360,0.49%
72,2020-02-05,1.8270,1.8270,0.50%
73,2020-02-04,1.8180,1.8180,2.31%
74,2020-02-03,1.7770,1.7770,-3.27%
75,2020-01-23,1.8370,1.8370,-1.40%
76,2020-01-22,1.8630,1.8630,0.54%
77,2020-01-21,1.8530,1.8530,-0.11%
78,2020-01-20,1.8550,1.8550,1.31%
79,2020-01-17,1.8310,1.8310,-0.16%
80,2020-01-16,1.8340,1.8340,0.16%
81,2020-01-15,1.8310,1.8310,0.22%
82,2020-01-14,1.8270,1.8270,-0.16%
83,2020-01-13,1.8300,1.8300,0.72%
84,2020-01-10,1.8170,1.8170,-0.11%
85,2020-01-09,1.8190,1.8190,1.28%
86,2020-01-08,1.7960,1.7960,-0.33%
87,2020-01-07,1.8020,1.8020,0.50%
88,2020-01-06,1.7930,1.7930,0.28%
89,2020-01-03,1.7880,1.7880,-0.11%
90,2020-01-02,1.7900,1.7900,1.30%
91,2019-12-31,1.7670,1.7670,0.40%
92,2019-12-30,1.7600,1.7600,0.69%
93,2019-12-27,1.7480,1.7480,-0.46%
94,2019-12-26,1.7560,1.7560,0.17%
95,2019-12-25,1.7530,1.7530,0.17%
