,净值日期,单位净值,累计净值,日增长率
0,2020-05-21,2.9420,3.3420,-0.31%
1,2020-05-20,2.9510,3.3510,-0.51%
2,2020-05-19,2.9660,3.3660,0.71%
3,2020-05-18,2.9450,3.3450,0.99%
4,2020-05-15,2.9160,3.3160,-0.10%
5,2020-05-14,2.9190,3.3190,-1.02%
6,2020-05-13,2.9490,3.3490,0.72%
7,2020-05-12,2.9280,3.3280,1.04%
8,2020-05-11,2.8980,3.2980,-0.55%
9,2020-05-08,2.9140,3.3140,1.01%
10,2020-05-07,2.8850,3.2850,0.45%
11,2020-05-06,2.8720,3.2720,-0.10%
12,2020-04-30,2.8750,3.2750,0.03%
13,2020-04-29,2.8740,3.2740,0.35%
14,2020-04-28,2.8640,3.2640,0.85%
15,2020-04-27,2.8400,3.2400,0.42%
16,2020-04-24,2.8280,3.2280,-0.32%
17,2020-04-23,2.8370,3.2370,0.04%
18,2020-04-22,2.8360,3.2360,1.03%
19,2020-04-21,2.8070,3.2070,-0.28%
20,2020-04-20,2.8150,3.2150,0.90%
21,2020-04-17,2.7900,3.1900,-0.25%
22,2020-04-16,2.7970,3.1970,0.29%
23,2020-04-15,2.7890,3.1890,-1.55%
24,2020-04-14,2.8330,3.2330,2.35%
25,2020-04-13,2.7680,3.1680,-0.36%
26,2020-04-10,2.7780,3.1780,-0.82%
27,2020-04-09,2.8010,3.2010,1.01%
28,2020-04-08,2.7730,3.1730,-0.11%
29,2020-04-07,2.7760,3.1760,2.36%
30,2020-04-03,2.7120,3.1120,-0.66%
31,2020-04-02,2.7300,3.1300,0.92%
32,2020-04-01,2.7050,3.1050,-0.18%
33,2020-03-31,2.7100,3.1100,1.16%
34,2020-03-30,2.6790,3.0790,-1.47%
35,2020-03-27,2.7190,3.1190,0.18%
36,2020-03-26,2.7140,3.1140,0.59%
37,2020-03-25,2.6980,3.0980,2.47%
38,2020-03-24,2.6330,3.0330,2.45%
39,2020-03-23,2.5700,2.9700,-3.02%
40,2020-03-20,2.6500,3.0500,1.96%
41,2020-03-19,2.5990,2.9990,-1.44%
42,2020-03-18,2.6370,3.0370,-1.60%
43,2020-03-17,2.6800,3.0800,0.04%
44,2020-03-16,2.6790,3.0790,-4.25%
45,2020-03-13,2.7980,3.1980,-0.74%
46,2020-03-12,2.8190,3.2190,-1.61%
47,2020-03-11,2.8650,3.2650,-1.10%
48,2020-03-10,2.8970,3.2970,2.08%
49,2020-03-09,2.8380,3.2380,-2.81%
50,2020-03-06,2.9200,3.3200,-1.45%
51,2020-03-05,2.9630,3.3630,0.82%
52,2020-03-04,2.9390,3.3390,0.75%
53,2020-03-03,2.9170,3.3170,1.18%
54,2020-03-02,2.8830,3.2830,3.22%
55,2020-02-28,2.7930,3.1930,-1.93%
56,2020-02-27,2.8480,3.2480,0.92%
57,2020-02-26,2.8220,3.2220,-1.54%
58,2020-02-25,2.8660,3.2660,-0.03%
59,2020-02-24,2.8670,3.2670,-0.10%
60,2020-02-21,2.8700,3.2700,0.81%
61,2020-02-20,2.8470,3.2470,1.86%
62,2020-02-19,2.7950,3.1950,-0.82%
63,2020-02-18,2.8180,3.2180,-0.25%
64,2020-02-17,2.8250,3.2250,1.40%
65,2020-02-14,2.7860,3.1860,0.58%
66,2020-02-13,2.7700,3.1700,-0.43%
67,2020-02-12,2.7820,3.1820,0.76%
68,2020-02-11,2.7610,3.1610,0.51%
69,2020-02-10,2.7470,3.1470,0.77%
70,2020-02-07,2.7260,3.1260,-0.11%
71,2020-02-06,2.7290,3.1290,1.75%
