,净值日期,单位净值,累计净值,日增长率
0,2020-05-21,1.7146,1.7146,-0.11%
1,2020-05-20,1.7165,1.7165,0.09%
2,2020-05-19,1.7149,1.7149,1.33%
3,2020-05-18,1.6924,1.6924,2.22%
4,2020-05-15,1.6556,1.6556,-0.73%
5,2020-05-14,1.6678,1.6678,-0.28%
6,2020-05-13,1.6724,1.6724,2.28%
7,2020-05-12,1.6352,1.6352,0.82%
8,2020-05-11,1.6219,1.6219,0.27%
9,2020-05-08,1.6176,1.6176,0.84%
10,2020-05-07,1.6042,1.6042,0.51%
11,2020-05-06,1.5961,1.5961,0.98%
12,2020-04-30,1.5806,1.5806,-0.16%
13,2020-04-29,1.5831,1.5831,-0.72%
14,2020-04-28,1.5945,1.5945,2.27%
15,2020-04-27,1.5591,1.5591,1.03%
16,2020-04-24,1.5432,1.5432,-0.93%
17,2020-04-23,1.5577,1.5577,0.91%
18,2020-04-22,1.5437,1.5437,1.98%
19,2020-04-21,1.5137,1.5137,-2.34%
20,2020-04-20,1.5500,1.5500,0.51%
21,2020-04-17,1.5422,1.5422,0.98%
22,2020-04-16,1.5273,1.5273,0.41%
23,2020-04-15,1.5210,1.5210,-0.13%
24,2020-04-14,1.5230,1.5230,0.93%
25,2020-04-13,1.5089,1.5089,-0.24%
26,2020-04-10,1.5125,1.5125,-0.02%
27,2020-04-09,1.5128,1.5128,1.39%
28,2020-04-08,1.4921,1.4921,-0.92%
29,2020-04-07,1.5059,1.5059,2.97%
30,2020-04-03,1.4625,1.4625,0.54%
31,2020-04-02,1.4547,1.4547,1.88%
32,2020-04-01,1.4279,1.4279,-0.33%
33,2020-03-31,1.4326,1.4326,1.49%
34,2020-03-30,1.4116,1.4116,-1.51%
35,2020-03-27,1.4333,1.4333,-0.31%
36,2020-03-26,1.4378,1.4378,0.34%
37,2020-03-25,1.4329,1.4329,3.87%
38,2020-03-24,1.3795,1.3795,4.19%
39,2020-03-23,1.3240,1.3240,-3.00%
40,2020-03-20,1.3650,1.3650,5.28%
41,2020-03-19,1.2966,1.2966,-2.99%
42,2020-03-18,1.3366,1.3366,-3.07%
43,2020-03-17,1.3789,1.3789,0.54%
44,2020-03-16,1.3715,1.3715,-5.13%
45,2020-03-13,1.4456,1.4456,-0.56%
46,2020-03-12,1.4537,1.4537,-3.07%
47,2020-03-11,1.4998,1.4998,-0.31%
48,2020-03-10,1.5045,1.5045,1.51%
49,2020-03-09,1.4821,1.4821,-3.49%
50,2020-03-06,1.5357,1.5357,-1.41%
51,2020-03-05,1.5576,1.5576,3.40%
52,2020-03-04,1.5064,1.5064,0.42%
53,2020-03-03,1.5001,1.5001,1.54%
54,2020-03-02,1.4773,1.4773,1.56%
55,2020-02-28,1.4546,1.4546,-2.58%
56,2020-02-27,1.4931,1.4931,0.95%
57,2020-02-26,1.4790,1.4790,-1.39%
58,2020-02-25,1.4998,1.4998,0.52%
59,2020-02-24,1.4921,1.4921,-1.91%
60,2020-02-21,1.5212,1.5212,-0.63%
61,2020-02-20,1.5308,1.5308,1.55%
62,2020-02-19,1.5075,1.5075,0.19%
63,2020-02-18,1.5046,1.5046,-1.01%
64,2020-02-17,1.5199,1.5199,0.09%
65,2020-02-14,1.5185,1.5185,0.87%
66,2020-02-13,1.5054,1.5054,-0.03%
67,2020-02-12,1.5059,1.5059,0.33%
68,2020-02-11,1.5009,1.5009,1.55%
69,2020-02-10,1.4780,1.4780,0.06%
70,2020-02-07,1.4771,1.4771,0.00%
71,2020-02-06,1.4771,1.4771,2.31%
72,2020-02-05,1.4438,1.4438,1.73%
