,净值日期,单位净值,累计净值,日增长率
0,2020-05-21,2.7450,3.5780,-0.29%
1,2020-05-20,2.7530,3.5860,-0.43%
2,2020-05-19,2.7650,3.5980,0.18%
3,2020-05-18,2.7600,3.5930,0.44%
4,2020-05-15,2.7480,3.5810,-0.36%
5,2020-05-14,2.7580,3.5910,-0.76%
6,2020-05-13,2.7790,3.6120,0.47%
7,2020-05-12,2.7660,3.5990,0.58%
8,2020-05-11,2.7500,3.5830,-0.18%
9,2020-05-08,2.7550,3.5880,0.99%
10,2020-05-07,2.7280,3.5610,-0.15%
11,2020-05-06,2.7320,3.5650,-0.07%
12,2020-04-30,2.7340,3.5670,0.74%
13,2020-04-29,2.7140,3.5470,0.97%
14,2020-04-28,2.6880,3.5210,0.22%
15,2020-04-27,2.6820,3.5150,0.49%
16,2020-04-24,2.6690,3.5020,-0.78%
17,2020-04-23,2.6900,3.5230,-0.04%
18,2020-04-22,2.6910,3.5240,0.30%
19,2020-04-21,2.6830,3.5160,-0.52%
20,2020-04-20,2.6970,3.5300,0.52%
21,2020-04-17,2.6830,3.5160,0.15%
22,2020-04-16,2.6790,3.5120,0.45%
23,2020-04-15,2.6670,3.5000,-0.74%
24,2020-04-14,2.6870,3.5200,1.59%
25,2020-04-13,2.6450,3.4780,-0.38%
26,2020-04-10,2.6550,3.4880,-0.97%
27,2020-04-09,2.6810,3.5140,0.34%
28,2020-04-08,2.6720,3.5050,-0.30%
29,2020-04-07,2.6800,3.5130,1.55%
30,2020-04-03,2.6390,3.4720,-0.45%
31,2020-04-02,2.6510,3.4840,1.03%
32,2020-04-01,2.6240,3.4570,0.27%
33,2020-03-31,2.6170,3.4500,0.11%
34,2020-03-30,2.6140,3.4470,-0.98%
35,2020-03-27,2.6400,3.4730,0.23%
36,2020-03-26,2.6340,3.4670,-0.45%
37,2020-03-25,2.6460,3.4790,2.24%
38,2020-03-24,2.5880,3.4210,1.81%
39,2020-03-23,2.5420,3.3750,-3.86%
40,2020-03-20,2.6440,3.4770,1.46%
41,2020-03-19,2.6060,3.4390,-1.25%
42,2020-03-18,2.6390,3.4720,-1.79%
43,2020-03-17,2.6870,3.5200,-0.89%
44,2020-03-16,2.7110,3.5440,-3.42%
45,2020-03-13,2.8070,3.6400,-0.39%
46,2020-03-12,2.8180,3.6510,-1.16%
47,2020-03-11,2.8510,3.6840,-1.35%
48,2020-03-10,2.8900,3.7230,1.69%
49,2020-03-09,2.8420,3.6750,-2.20%
50,2020-03-06,2.9060,3.7390,-0.92%
51,2020-03-05,2.9330,3.7660,0.83%
52,2020-03-04,2.9090,3.7420,0.62%
53,2020-03-03,2.8910,3.7240,0.84%
54,2020-03-02,2.8670,3.7000,2.65%
55,2020-02-28,2.7930,3.6260,-2.07%
56,2020-02-27,2.8520,3.6850,0.42%
57,2020-02-26,2.8400,3.6730,-1.83%
58,2020-02-25,2.8930,3.7260,-0.07%
59,2020-02-24,2.8950,3.7280,-0.34%
60,2020-02-21,2.9050,3.7380,0.35%
61,2020-02-20,2.8950,3.7280,1.47%
62,2020-02-19,2.8530,3.6860,-0.83%
63,2020-02-18,2.8770,3.7100,0.52%
64,2020-02-17,2.8620,3.6950,1.78%
65,2020-02-14,2.8120,3.6450,-0.04%
66,2020-02-13,2.8130,3.6460,-0.67%
67,2020-02-12,2.8320,3.6650,1.00%
68,2020-02-11,2.8040,3.6370,-0.07%
69,2020-02-10,2.8060,3.6390,1.15%
70,2020-02-07,2.7740,3.6070,0.43%
71,2020-02-06,2.7620,3.5950,2.26%
72,2020-02-05,2.7010,3.5340,0.97%
73,2020-02-04,2.6750,3.5080,3.44%
74,2020-02-03,2.5860,3.4190,-5.31%
75,2020-01-23,2.7310,3.5640,-2.29%
76,2020-01-22,2.7950,3.6280,1.27%
77,2020-01-21,2.7600,3.5930,-0.50%
78,2020-01-20,2.7740,3.6070,0.22%
79,2020-01-17,2.7680,3.6010,-0.04%
80,2020-01-16,2.7690,3.6020,0.33%
81,2020-01-15,2.7600,3.5930,-0.11%
82,2020-01-14,2.7630,3.5960,-0.18%
83,2020-01-13,2.7680,3.6010,1.21%
84,2020-01-10,2.7350,3.5680,-0.22%
85,2020-01-09,2.7410,3.5740,1.74%
86,2020-01-08,2.6940,3.5270,-0.63%
87,2020-01-07,2.7110,3.5440,0.97%
88,2020-01-06,2.6850,3.5180,1.09%
89,2020-01-03,2.6560,3.4890,0.19%
90,2020-01-02,2.6510,3.4840,1.53%
91,2019-12-31,2.6110,3.4440,0.38%
92,2019-12-30,2.6010,3.4340,0.77%
93,2019-12-27,2.5810,3.4140,-1.11%
94,2019-12-26,2.6100,3.4430,0.58%
95,2019-12-25,2.5950,3.4280,0.58%
96,2019-12-24,2.5800,3.4130,1.14%
97,2019-12-23,2.5510,3.3840,-1.28%
98,2019-12-20,2.5840,3.4170,-0.62%
99,2019-12-19,2.6000,3.4330,0.31%
100,2019-12-18,2.5920,3.4250,-0.58%
101,2019-12-17,2.6070,3.4400,0.97%
102,2019-12-16,2.5820,3.4150,1.73%
103,2019-12-13,2.5380,3.3710,1.48%
104,2019-12-12,2.5010,3.3340,-0.08%
105,2019-12-11,2.5030,3.3360,0.04%
