基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
长信低碳环保行业量化股票,004925,1.53亿元（2019-12-31）,11.04%,24.97%,24.65%,23.77%,--,9.44%,左金保,2年又119天,9.44%,4年又361天
中欧时代先锋股票A,001938,126.88亿元（2019-12-31）,5.10%,16.23%,24.36%,41.74%,97.75%,181.95%,周应波,4年又126天,181.95%,4年又126天
招商核心优选股票C,008076,1.99亿元（2019-12-27）,4.33%,--,--,--,--,4.03%,付斌,81天,4.03%,5年又54天
中欧时代先锋股票C,004241,13.06亿元（2019-12-31）,5.04%,16.02%,23.88%,40.90%,93.54%,109.08%,周应波,3年又48天,109.08%,4年又126天
招商核心优选股票A,008075,37.11亿元（2019-12-27）,4.44%,--,--,--,--,4.22%,付斌,81天,4.22%,5年又54天
德邦民裕进取量化精锐股票C,007615,0.33亿元（2019-12-31）,13.76%,19.32%,19.76%,--,--,19.75%,王本昌,185天,19.75%,6年又17天
国泰智能装备股票,001576,4.87亿元（2019-12-31）,4.44%,24.96%,31.85%,37.86%,--,48.20%,王阳,205天,42.64%,1年又115天
汇添富国企创新股票,001490,6.05亿元（2019-12-31）,5.93%,9.83%,14.71%,32.20%,22.19%,16.20%,李威,2年又7天,2.83%,5年又39天
德邦民裕进取量化精锐股票A,007614,2.22亿元（2019-12-31）,13.82%,19.52%,20.14%,--,--,20.13%,王本昌,185天,20.13%,6年又17天
华夏科技成长股票,006868,5.82亿元（2019-12-31）,9.56%,30.74%,37.28%,39.98%,--,39.98%,张帆,1年又3天,39.98%,3年又61天
鹏华价值精选股票,206012,1.80亿元（2019-12-31）,5.63%,17.48%,30.19%,44.33%,29.15%,78.10%,张航,339天,35.13%,1年又219天
汇添富成长多因子量化策略股票,001050,10.99亿元（2019-12-31）,10.71%,19.11%,17.57%,25.69%,14.90%,36.50%,许一尊/吴振翔,4年又105天,17.47%,4年又105天/10年又32天
汇添富内需增长股票A,007523,26.78亿元（2019-12-31）,4.89%,5.42%,5.63%,--,--,6.72%,郑慧莲/赵鹏飞,220天,6.72%,2年又86天/3年又278天
汇添富环保行业股票,000696,16.30亿元（2019-12-31）,8.06%,15.36%,18.65%,15.78%,-13.34%,24.70%,赵鹏程,1年又49天,32.38%,3年又224天
汇添富内需增长股票C,007524,1.09亿元（2019-12-31）,4.85%,5.23%,5.18%,--,--,6.20%,郑慧莲/赵鹏飞,220天,6.20%,2年又86天/3年又278天
银华信息科技量化股票发起式C,005036,0.08亿元（2019-12-31）,12.61%,30.21%,30.30%,42.02%,--,16.88%,李宜璇,1年又72天,87.43%,2年又73天
银华信息科技量化股票发起式A,005035,0.17亿元（2019-12-31）,12.66%,30.32%,30.54%,42.21%,--,16.61%,李宜璇,1年又72天,87.66%,2年又73天
建信信息产业股票,001070,4.37亿元（2019-12-31）,0.29%,18.93%,20.92%,48.85%,51.97%,74.00%,邵卓,4年又350天,74.00%,4年又350天
南方教育股票,003956,3.04亿元（2019-12-31）,3.53%,26.26%,47.78%,72.03%,69.74%,69.93%,萧嘉倩,29天,1.15%,303天
鹏华文化传媒娱乐股票,001223,0.71亿元（2019-12-31）,0.33%,12.37%,12.07%,10.45%,12.37%,22.60%,贺宁,290天,23.71%,290天
银华农业产业股票发起式,005106,4.04亿元（2019-12-31）,17.00%,23.14%,23.70%,47.83%,--,67.26%,王翔,2年又161天,67.26%,3年又6天
前海开源优势蓝筹股票C,001638,0.24亿元（2019-12-31）,14.30%,16.22%,9.36%,30.39%,50.69%,51.90%,吴国清,1年又203天,44.67%,4年又165天
南方中小盘成长股票,000326,1.84亿元（2019-12-31）,6.12%,14.43%,14.88%,19.84%,33.47%,38.41%,吴剑毅,4年又132天,38.41%,5年又234天
工银国企改革股票,001008,14.19亿元（2019-12-31）,8.63%,7.47%,9.45%,19.87%,41.67%,30.90%,何肖颉,2年又9天,14.22%,9年又153天
嘉实腾讯自选股大数据策略股票,001637,2.85亿元（2019-12-31）,12.54%,19.09%,18.77%,27.80%,18.55%,31.00%,龙昌伦/刘斌,2年又259天,27.93%,2年又259天/9年又278天
工银新金融股票,001054,7.59亿元（2019-12-31）,10.95%,18.67%,21.36%,37.24%,56.90%,50.00%,鄢耀,2年又150天,40.98%,6年又195天
前海开源强势共识100强股票,001849,0.16亿元（2019-12-31）,4.59%,14.75%,18.63%,30.03%,34.89%,29.90%,谢屹,4年又89天,29.90%,4年又243天
华安大国新经济股票,000549,1.91亿元（2019-12-31）,8.81%,23.92%,29.65%,50.12%,49.94%,160.60%,翁启森,4年又256天,24.10%,9年又172天
国泰央企改革股票,001626,1.99亿元（2019-12-31）,8.97%,20.33%,25.06%,36.77%,46.73%,59.20%,饶玉涵,1年又360天,18.72%,4年又181天
建信量化事件驱动股票,004730,0.84亿元（2019-12-31）,8.27%,11.90%,13.27%,25.00%,--,10.01%,薛玲,2年又176天,10.01%,3年又247天
前海开源优势蓝筹股票A,001162,1.07亿元（2019-12-31）,14.19%,16.20%,9.41%,30.44%,51.09%,38.40%,吴国清,1年又203天,44.77%,4年又165天
嘉实前沿科技沪港深股票,004450,25.57亿元（2019-12-31）,4.27%,19.16%,21.54%,33.96%,--,56.16%,张丹华,2年又293天,56.16%,4年又298天
建信多因子量化股票,002952,1.09亿元（2019-12-31）,6.90%,11.21%,14.17%,21.67%,9.94%,12.22%,叶乐天,3年又211天,12.22%,7年又353天
鹏华先进制造股票,000778,1.84亿元（2019-12-31）,8.27%,16.26%,24.01%,45.78%,42.32%,115.90%,袁航,4年又70天,40.10%,5年又125天
建信互联网+产业升级股票,001396,10.13亿元（2019-12-31）,3.64%,11.65%,16.36%,33.23%,26.54%,-11.80%,何珅华,4年又259天,-11.80%,4年又326天
中银智能制造股票,001476,16.19亿元（2019-12-31）,7.69%,18.55%,27.27%,42.03%,17.13%,-11.80%,王伟,4年又263天,-11.80%,5年又26天
红土创新新科技股票,006265,0.33亿元（2019-12-31）,4.85%,29.15%,32.55%,61.01%,--,84.79%,朱然,1年又175天,84.79%,2年又121天
信达澳银先进智造股票型,006257,1.31亿元（2019-12-31）,16.94%,37.95%,49.59%,74.08%,--,83.38%,冯明远,1年又50天,83.38%,3年又140天
中银互联网+股票,001663,1.39亿元（2019-12-31）,1.40%,17.69%,23.47%,37.08%,35.87%,23.10%,欧阳力君,171天,24.47%,2年又6天
添富智能制造股票,005802,22.16亿元（2019-12-31）,4.20%,4.37%,5.92%,13.88%,--,13.58%,赵鹏飞,1年又319天,13.58%,3年又278天
工银创新动力股票,000893,6.74亿元（2019-12-31）,6.49%,8.79%,10.62%,20.81%,-18.51%,-34.40%,杨鑫鑫,1年又7天,24.01%,6年又157天
华夏经济转型股票,002229,11.55亿元（2019-12-31）,6.79%,24.10%,29.24%,29.34%,69.60%,93.01%,张帆,1年又227天,37.37%,3年又61天
宝盈国家安全沪港深股票,001877,0.79亿元（2019-12-31）,7.96%,20.16%,14.94%,17.69%,-7.62%,3.10%,曹潜,2年又5天,19.33%,2年又23天
广发资源优选股票,005402,0.42亿元（2019-12-31）,9.51%,18.82%,26.37%,33.52%,--,25.71%,观富钦/孙迪,178天,25.47%,2年又23天/2年又84天
景顺长城沪港深领先科技,004476,3.83亿元（2019-12-31）,3.73%,17.66%,25.28%,44.44%,--,58.60%,詹成,212天,42.11%,4年又70天
华安物联网主题股票,001028,10.89亿元（2019-12-31）,8.34%,23.17%,27.77%,45.53%,33.94%,2.60%,翁启森,4年又357天,2.60%,9年又172天
银华兴盛股票,006251,2.63亿元（2019-12-31）,8.08%,14.82%,17.50%,--,--,17.78%,薄官辉,219天,17.78%,4年又314天
汇添富移动互联股票,000697,51.46亿元（2019-12-31）,5.62%,24.84%,27.16%,43.45%,7.93%,57.80%,杨瑨,1年又49天,78.10%,3年又42天
上投摩根优选多因子股票,004606,0.57亿元（2019-12-31）,6.16%,8.93%,8.62%,23.31%,--,19.44%,施虓文,71天,5.36%,3年又49天
信达澳银新能源产业股票,001410,29.70亿元（2019-12-31）,14.80%,40.53%,53.59%,86.91%,175.16%,218.37%,冯明远,3年又132天,187.59%,3年又140天
中金消费升级,001193,1.68亿元（2019-12-31）,7.57%,10.26%,11.59%,29.05%,5.00%,-7.60%,于玥,1年又253天,27.98%,1年又253天
嘉实企业变革股票,001036,12.26亿元（2019-12-31）,13.83%,28.65%,32.47%,44.21%,51.48%,38.30%,谢泽林,2年又142天,40.12%,4年又180天
嘉实先进制造股票,001039,13.51亿元（2019-12-31）,8.93%,30.45%,41.23%,62.15%,55.46%,28.10%,张淼,2年又177天,45.57%,5年又20天
新华策略精选股票,001040,6.27亿元（2019-12-31）,13.60%,19.32%,24.47%,38.94%,44.97%,47.00%,赵强,2年又286天,58.58%,3年又349天
诺安策略精选股票,320020,1.27亿元（2019-12-31）,7.40%,2.62%,4.99%,14.12%,34.39%,94.91%,蔡宇滨,1年又45天,32.74%,2年又79天
嘉实事件驱动股票,001416,44.84亿元（2019-12-31）,9.79%,12.80%,13.93%,30.27%,8.10%,-9.20%,张楠/张自力,1年又50天,60.99%,2年又62天/6年又268天
华夏潜龙精选股票,005826,0.93亿元（2019-12-31）,3.54%,4.73%,4.11%,23.96%,--,40.96%,王睿智/潘中宁,205天,13.72%,205天/1年又162天
中融智选红利股票A,005569,0.95亿元（2019-12-31）,8.67%,10.48%,11.66%,16.27%,--,18.62%,易海波,1年又343天,18.62%,3年又62天
中融智选红利股票C,005570,0.45亿元（2019-12-31）,8.58%,10.28%,11.27%,15.95%,--,17.65%,易海波,1年又343天,17.65%,3年又62天
华商上游产业股票,005161,0.95亿元（2019-12-31）,12.75%,27.32%,23.78%,26.95%,--,18.06%,童立,2年又71天,18.06%,3年又330天
创金合信科技成长股票A,005495,0.65亿元（2019-12-31）,11.73%,32.89%,53.88%,75.31%,--,68.16%,周志敏,2年又70天,68.16%,2年又70天
建信中国制造2025,001825,0.93亿元（2019-12-31）,4.53%,20.71%,24.63%,33.52%,--,26.35%,孙晟,3年又0天,26.35%,3年又343天
创金合信科技成长股票C,005496,0.67亿元（2019-12-31）,11.68%,32.73%,53.22%,73.68%,--,65.88%,周志敏,2年又70天,65.88%,2年又70天
北信瑞丰研究精选,004352,0.38亿元（2019-12-31）,7.01%,17.85%,15.20%,27.36%,--,22.09%,庞琳琳,2年又253天,22.09%,2年又253天
泰达宏利首选企业股票,162208,4.41亿元（2019-12-31）,8.69%,20.45%,20.98%,42.44%,47.98%,199.59%,张勋,5年又105天,79.31%,5年又108天
工银智能制造股票,002861,0.50亿元（2019-12-31）,9.86%,17.02%,19.27%,42.64%,--,11.40%,农冰立,1年又245天,49.33%,1年又259天
兴全全球视野股票,340006,16.98亿元（2019-12-31）,6.26%,19.71%,22.25%,46.89%,37.02%,767.74%,王品,2年又119天,38.04%,9年又117天
工银产业升级股票C,007675,0.64亿元（2019-12-25）,8.07%,--,--,--,--,9.65%,陈小鹭/杜洋,73天,9.65%,3年又167天/5年又21天
工银产业升级股票A,007674,2.49亿元（2019-12-25）,8.14%,--,--,--,--,9.83%,陈小鹭/杜洋,73天,9.83%,3年又167天/5年又21天
嘉实环保低碳股票,001616,34.28亿元（2019-12-31）,4.43%,30.27%,33.93%,45.58%,58.03%,95.80%,姚志鹏,1年又352天,28.82%,3年又312天
海富通量化前锋股票A,005189,0.24亿元（2019-12-31）,7.28%,15.48%,17.16%,28.85%,--,24.10%,杜晓海,1年又309天,23.27%,3年又259天
嘉实新能源新材料股票A,003984,4.49亿元（2019-12-31）,4.25%,30.24%,32.67%,51.52%,--,64.29%,姚志鹏,2年又357天,64.29%,3年又312天
鹏华优选价值股票,008134,13.37亿元（2019-12-17）,1.13%,--,--,--,--,-1.07%,伍旋,81天,-1.07%,8年又72天
光大国企改革股票,001047,12.82亿元（2019-12-31）,9.78%,20.90%,20.90%,34.07%,51.64%,52.70%,董伟炜,3年又42天,58.90%,4年又293天
海富通量化前锋股票C,005188,0.13亿元（2019-12-31）,7.24%,15.37%,16.94%,28.35%,--,25.46%,杜晓海,1年又309天,25.00%,3年又259天
嘉实新能源新材料股票C,003985,1.74亿元（2019-12-31）,4.22%,30.08%,32.35%,50.99%,--,62.92%,姚志鹏,2年又357天,62.92%,3年又312天
景顺长城量化精选股票,000978,21.51亿元（2019-12-31）,10.24%,11.52%,6.57%,4.42%,-0.92%,40.30%,黎海威,5年又33天,40.30%,6年又131天
鹏华改革红利股票,001188,12.75亿元（2019-12-31）,4.88%,8.01%,6.20%,16.47%,23.90%,1.10%,袁航,67天,1.40%,5年又125天
建信龙头企业股票,005259,2.07亿元（2019-12-31）,-0.31%,12.09%,21.10%,39.89%,--,35.18%,刘克飞/姚锦,2年又2天,38.53%,2年又2天/10年又70天
英大国企改革主题股票,001678,0.04亿元（2019-12-31）,4.57%,9.19%,8.18%,15.99%,--,28.91%,张媛,103天,10.43%,2年又44天
华夏节能环保股票,004640,2.11亿元（2019-12-31）,0.92%,24.73%,38.21%,41.90%,--,13.32%,吕佳玮,2年又209天,13.32%,2年又209天
嘉实研究阿尔法股票,000082,5.93亿元（2019-12-31）,6.34%,11.52%,12.76%,24.63%,42.96%,159.11%,张丹华/张露,1年又127天,47.09%,4年又298天/2年又209天
创金上证超大盘量化A,008768,0.05亿元（2019-12-27）,3.79%,--,--,--,--,-2.86%,董梁,71天,-2.86%,2年又203天
创金上证超大盘量化C,008769,0.05亿元（2019-12-27）,3.74%,--,--,--,--,-2.96%,董梁,71天,-2.96%,2年又203天
银华沪港深增长股票,001703,1.80亿元（2019-12-31）,2.67%,8.20%,11.05%,24.05%,68.69%,83.87%,周晶/周大鹏,232天,17.95%,6年又93天/8年又165天
泰达转型机遇,000828,0.85亿元（2019-12-31）,0.46%,21.60%,28.42%,50.63%,50.12%,56.94%,王鹏,2年又79天,42.11%,2年又121天
华宝制造股票,000866,3.72亿元（2019-12-31）,10.45%,22.61%,26.76%,29.23%,6.65%,45.90%,贺喆,1年又196天,41.65%,1年又249天
汇添富沪港深新价值股票,001685,3.85亿元（2019-12-31）,0.00%,7.35%,6.35%,6.45%,3.55%,13.90%,杨威风,1年又49天,15.40%,1年又66天
诺安低碳经济股票,001208,6.72亿元（2019-12-31）,6.99%,13.05%,13.05%,20.47%,68.54%,37.70%,蔡宇滨,1年又45天,39.80%,2年又79天
汇丰晋信中小盘股票,540007,0.71亿元（2019-12-31）,7.48%,26.89%,29.68%,45.16%,40.26%,68.30%,刘哲华/侯玉琦,47天,9.49%,47天/9年又89天
嘉实物流产业股票A,003298,0.97亿元（2019-12-31）,3.53%,10.12%,8.55%,24.21%,49.27%,52.40%,肖觅,3年又69天,52.40%,3年又69天
嘉实物流产业股票C,003299,0.19亿元（2019-12-31）,3.48%,10.02%,8.45%,24.08%,48.68%,51.50%,肖觅,3年又69天,51.50%,3年又69天
华宝品质生活股票,000867,2.05亿元（2019-12-31）,5.31%,18.54%,18.85%,41.70%,56.86%,39.53%,光磊,1年又115天,65.72%,4年又334天
鹏扬元合量化大盘C,007138,0.41亿元（2019-12-31）,4.82%,4.68%,1.82%,--,--,4.86%,JIANG SHAOKUN,242天,4.86%,242天
鹏扬元合量化大盘A,007137,0.10亿元（2019-12-31）,4.89%,5.84%,3.66%,--,--,6.96%,JIANG SHAOKUN,242天,6.96%,242天
富国城镇发展股票,000471,10.35亿元（2019-12-31）,6.29%,9.51%,12.36%,36.08%,-20.80%,95.02%,蒲世林,1年又53天,59.88%,1年又79天
建信大安全战略精选股票,001473,2.21亿元（2019-12-31）,7.41%,14.79%,21.07%,48.39%,59.53%,92.67%,王东杰,4年又223天,92.67%,4年又300天
申万菱信行业轮动股票,005009,2.05亿元（2019-12-31）,4.28%,19.31%,23.14%,32.70%,--,7.37%,蒲延杰,1年又3天,33.33%,3年又119天
国富健康优质生活股票,000761,4.52亿元（2019-12-31）,7.89%,10.93%,10.37%,15.78%,17.34%,29.90%,王晓宁,5年又167天,29.90%,6年又222天
长城量化精选股票,006926,0.49亿元（2019-12-31）,9.16%,8.89%,12.33%,--,--,13.99%,雷俊,283天,13.99%,4年又55天
德邦量化优选股票(LOF)A,167702,1.24亿元（2019-12-31）,8.74%,17.20%,18.48%,30.22%,--,51.76%,王本昌,2年又349天,51.76%,6年又17天
申万菱信量化小盘股票,163110,8.19亿元（2019-12-31）,11.60%,13.88%,13.04%,18.85%,6.17%,198.78%,袁英杰,150天,14.88%,5年又38天
德邦量化优选股票(LOF)C,167703,0.21亿元（2019-12-31）,8.72%,17.11%,18.32%,29.80%,--,49.47%,王本昌,2年又349天,49.47%,6年又17天
长信量化多策略股票A,519965,0.87亿元（2019-12-31）,7.62%,13.38%,16.20%,21.07%,2.49%,35.60%,左金保,1年又182天,33.20%,4年又361天
嘉实智能汽车股票,002168,10.77亿元（2019-12-31）,3.95%,29.72%,34.39%,53.88%,69.11%,123.90%,姚志鹏,1年又353天,55.38%,3年又312天
汇添富价值多因子股票,005530,1.68亿元（2019-12-31）,6.76%,9.56%,10.07%,21.09%,--,22.35%,许一尊/吴振翔,1年又350天,22.35%,4年又105天/10年又32天
国富沪港深成长精选股票,001605,7.57亿元（2019-12-31）,4.89%,14.87%,19.33%,36.97%,75.46%,63.00%,徐成,2年又138天,51.91%,4年又75天
长信量化多策略股票C,004858,0.46亿元（2019-12-31）,7.48%,12.51%,15.56%,19.53%,--,9.71%,左金保,1年又182天,31.15%,4年又361天
招商移动互联网产业股票基金,001404,12.86亿元（2019-12-31）,1.89%,17.80%,24.51%,38.46%,35.18%,2.60%,张林,267天,49.56%,4年又230天
国投瑞银研究精选股票,001520,1.54亿元（2019-12-31）,10.19%,16.04%,16.39%,28.29%,--,17.90%,桑俊,2年又97天,19.50%,5年又95天
大成高新技术产业股票,000628,7.70亿元（2019-12-31）,5.75%,8.85%,10.21%,25.21%,62.50%,104.10%,刘旭,1年又178天,44.24%,4年又223天
景顺长城研究精选股票,000688,0.69亿元（2019-12-31）,6.49%,5.85%,3.92%,10.02%,27.06%,62.21%,徐喻军,1年又185天,17.23%,5年又324天
工银文体产业股票,001714,29.65亿元（2019-12-31）,7.07%,17.96%,25.24%,40.71%,94.17%,136.11%,袁芳,1年又109天,71.97%,4年又69天
博道叁佰智航股票A,007470,0.84亿元（2019-12-31）,7.38%,9.86%,12.09%,--,--,23.34%,杨梦,276天,23.34%,1年又210天
汇丰晋信沪港深A,002332,10.14亿元（2019-12-31）,1.27%,9.56%,14.15%,23.36%,33.88%,42.53%,程彧,1年又189天,31.04%,3年又118天
汇丰晋信沪港深C,002333,0.82亿元（2019-12-31）,1.24%,9.42%,13.88%,22.69%,31.54%,39.67%,程彧,1年又189天,29.97%,3年又118天
博道叁佰智航股票C,007471,1.45亿元（2019-12-31）,7.35%,9.76%,11.86%,--,--,22.97%,杨梦,276天,22.97%,1年又210天
交银消费新驱动股票,519714,3.72亿元（2019-12-31）,7.47%,5.45%,4.20%,15.76%,45.37%,210.66%,韩威俊,1年又183天,28.43%,4年又48天
汇丰晋信大盘股票A,540006,31.53亿元（2019-12-31）,5.86%,11.06%,11.39%,16.84%,45.21%,320.42%,郭敏,1年又314天,24.10%,4年又290天
招商行业精选股票基金,000746,5.43亿元（2019-12-31）,1.04%,15.08%,27.10%,43.09%,85.38%,143.40%,贾成东,3年又60天,89.71%,5年又36天
嘉实消费精选股票A,006604,4.41亿元（2019-12-31）,7.31%,6.80%,7.36%,--,--,16.89%,吴越,339天,16.89%,339天
嘉实消费精选股票C,006605,0.13亿元（2019-12-31）,7.27%,6.67%,7.08%,--,--,16.16%,吴越,339天,16.16%,339天
前海开源公用事业股票,005669,0.25亿元（2019-12-31）,-0.83%,-3.63%,-4.84%,-1.71%,--,0.97%,史程,1年又350天,0.97%,3年又314天
天弘文化新兴产业,164205,4.77亿元（2019-12-31）,7.28%,11.14%,17.94%,59.84%,62.61%,111.39%,田俊维,2年又174天,64.69%,4年又277天
安信价值精选股票,000577,40.42亿元（2019-12-31）,1.27%,11.07%,16.37%,24.10%,42.67%,227.00%,陈一峰,5年又322天,227.00%,5年又322天
广发科技动力股票,005777,24.45亿元（2019-12-31）,4.31%,17.22%,28.57%,52.25%,--,57.55%,李耀柱,1年又281天,57.55%,4年又82天
鹏华养老产业股票,000854,6.58亿元（2019-12-31）,7.66%,5.61%,9.27%,46.45%,82.84%,133.30%,王宗合,5年又97天,133.30%,9年又72天
前海开源股息率100强股票,000916,6.47亿元（2019-12-31）,6.70%,5.58%,4.40%,5.03%,14.60%,56.27%,邱杰,5年又55天,56.27%,5年又55天
西部利得个股精选股票,673090,1.27亿元（2019-12-31）,6.09%,7.24%,9.43%,31.55%,37.84%,41.23%,刘荟,345天,30.23%,4年又64天
嘉实互通精选股票,006803,0.40亿元（2019-12-31）,2.71%,4.96%,6.00%,10.84%,--,11.01%,冯正彦/陈叶雁南,1年又16天,11.01%,1年又16天/1年又16天
上投摩根大盘蓝筹股票,376510,3.19亿元（2019-12-31）,5.02%,14.14%,15.33%,36.04%,51.08%,109.10%,朱晓龙,232天,27.66%,1年又112天
上投摩根核心精选,005983,0.44亿元（2019-12-31）,9.40%,19.27%,19.71%,40.95%,--,43.13%,李博,1年又99天,43.13%,5年又68天
中欧电子信息产业沪港深股票A,004616,3.61亿元（2019-12-31）,11.22%,20.79%,20.79%,35.83%,--,74.97%,刘晨,165天,19.89%,4年又37天
中欧电子信息产业沪港深股票C,005763,1.83亿元（2019-12-31）,11.15%,20.69%,20.32%,35.21%,--,67.77%,刘晨,165天,19.50%,4年又37天
银华中国梦30股票,001163,5.99亿元（2019-12-31）,8.76%,7.17%,11.71%,29.02%,45.90%,31.60%,薄官辉,4年又314天,31.60%,4年又314天
工银美丽城镇股票,001043,6.41亿元（2019-12-31）,9.46%,15.90%,15.46%,31.83%,65.32%,51.60%,王君正,2年又150天,38.83%,6年又195天
国联安科技动力,001956,3.12亿元（2019-12-31）,4.69%,32.98%,42.83%,76.54%,77.37%,66.37%,潘明,4年又42天,66.37%,6年又22天
工银研究精选股票,000803,0.65亿元（2019-12-31）,8.39%,21.32%,28.93%,38.85%,44.19%,91.20%,宋炳珅,2年又76天,32.50%,8年又24天
西部利得事件驱动股票,671030,0.25亿元（2019-12-31）,6.01%,6.28%,8.45%,15.94%,--,42.28%,童国林/刘荟,12天,-1.59%,2年又264天/4年又64天
博时量化多策略股票C,005636,0.39亿元（2019-12-31）,7.37%,8.18%,7.66%,10.61%,--,8.41%,林景艺/黄瑞庆,1年又339天,8.41%,4年又293天/9年又73天
博时量化多策略股票A,005635,1.01亿元（2019-12-31）,7.44%,8.40%,8.08%,11.49%,--,10.10%,林景艺/黄瑞庆,1年又339天,10.10%,4年又293天/9年又73天
光大量化股票,360001,34.29亿元（2019-12-31）,5.41%,9.32%,7.49%,18.10%,-4.93%,374.08%,金昉毅/翟云飞,18天,1.85%,4年又98天/4年又33天
招商财经大数据股票C,007952,0.00亿元（2019-12-31）,5.76%,8.05%,--,--,--,8.51%,王平,178天,8.51%,9年又261天
华商消费行业股票,004189,0.19亿元（2019-12-31）,8.11%,7.86%,8.71%,3.28%,--,-19.65%,何奇峰,2年又358天,-19.65%,5年又41天
泰达宏利业绩股票C,004485,0.66亿元（2019-12-31）,5.42%,7.40%,8.50%,21.27%,--,22.89%,刘洋,1年又39天,44.15%,1年又210天
景顺长城沪港深精选股票,000979,22.75亿元（2019-12-31）,-1.31%,4.58%,3.51%,10.10%,27.10%,21.00%,鲍无可,296天,7.08%,5年又255天
诺安先进制造股票,001528,3.45亿元（2019-12-31）,3.46%,9.11%,9.97%,16.71%,43.25%,67.60%,韩冬燕,4年又108天,66.60%,4年又124天
招商财经大数据股票A,003416,0.17亿元（2019-12-31）,5.76%,8.02%,7.97%,11.94%,-9.30%,-12.06%,王平,3年又126天,-12.06%,9年又261天
泰达宏利业绩股票A,004484,0.76亿元（2019-12-31）,5.47%,7.54%,8.77%,21.72%,--,24.40%,刘洋,1年又39天,44.77%,1年又210天
海富通电子传媒股票A,006081,0.04亿元（2019-12-31）,4.75%,33.56%,35.59%,49.01%,--,78.78%,施敏佳,1年又72天,78.78%,4年又134天
景顺长城量化新动力股票,001974,4.96亿元（2019-12-31）,7.68%,9.23%,8.66%,16.23%,44.25%,66.90%,黎海威,3年又238天,66.90%,6年又131天
嘉实农业产业股票,003634,4.16亿元（2019-12-31）,17.39%,14.37%,12.46%,34.98%,48.93%,49.42%,姚爽,3年又91天,49.42%,3年又91天
海富通电子传媒股票C,006080,0.03亿元（2019-12-31）,4.68%,33.30%,35.39%,48.15%,--,75.47%,施敏佳,1年又72天,75.47%,4年又134天
广发沪港深新机遇股票,001764,4.80亿元（2019-12-31）,3.95%,12.96%,15.26%,17.78%,18.91%,26.52%,余昊,1年又171天,20.02%,3年又274天
国联安价值优选股票,006138,0.20亿元（2019-12-31）,8.24%,13.52%,10.50%,13.80%,--,41.18%,邹新进,1年又169天,41.18%,10年又4天
华商计算机行业量化股票,007853,8.46亿元（2019-12-31）,12.52%,19.36%,--,--,--,19.38%,艾定飞/邓默,129天,19.38%,1年又102天/4年又181天
汇丰晋信科技先锋股票,540010,7.97亿元（2019-12-31）,5.75%,26.08%,35.33%,49.92%,38.78%,177.86%,陈平,4年又227天,13.16%,4年又227天
嘉实新消费股票,001044,22.79亿元（2019-12-31）,12.95%,9.52%,12.80%,28.99%,72.25%,73.62%,谭丽,2年又331天,64.26%,2年又331天
银华食品饮料量化股票发起式A,005235,0.23亿元（2019-12-31）,10.81%,5.11%,5.73%,33.12%,--,31.84%,马君,1年又25天,46.70%,7年又186天
银华食品饮料量化股票发起式C,005236,0.13亿元（2019-12-31）,10.78%,5.03%,5.53%,32.95%,--,31.38%,马君,1年又25天,46.50%,7年又186天
嘉实核心优势股票发起式,005612,28.84亿元（2019-12-31）,2.81%,5.95%,10.03%,24.89%,--,19.36%,胡宇飞,357天,23.37%,2年又35天
鑫元核心资产C,006194,0.00亿元（2019-12-31）,6.65%,10.10%,10.44%,11.67%,--,17.98%,丁玥,1年又114天,17.98%,3年又225天
鑫元核心资产A,006193,1.35亿元（2019-12-31）,6.72%,10.28%,10.87%,11.87%,--,18.49%,丁玥,1年又114天,18.49%,3年又225天
建信双利分级股票,165310,1.15亿元（2019-12-31）,8.10%,8.29%,9.45%,16.55%,32.31%,104.68%,梁洪昀,4年又349天,36.78%,10年又125天
大摩量化多策略股票,001291,4.31亿元（2019-12-31）,5.50%,9.39%,8.75%,12.33%,-12.46%,-8.00%,余斌,196天,13.02%,5年又196天
博时国企改革股票,001277,10.33亿元（2019-12-31）,8.15%,11.71%,8.43%,9.55%,1.19%,-15.10%,林景艺,3年又273天,16.94%,4年又293天
华泰紫金智能量化股票发起,005502,0.80亿元（2019-12-31）,4.60%,10.65%,11.56%,20.26%,--,8.20%,张璐/毛甜,122天,10.16%,218天/2年又86天
前海开源价值策略股票,005328,2.47亿元（2019-12-31）,4.78%,15.28%,13.02%,26.26%,--,9.54%,肖立强,282天,40.53%,1年又143天
前海开源沪港深非周期股票C,006924,0.10亿元（2019-12-31）,-0.24%,1.27%,1.06%,--,--,6.50%,史程,360天,6.50%,3年又314天
华夏研究精选股票,004686,3.52亿元（2019-12-31）,8.33%,13.93%,16.03%,27.51%,--,24.49%,林晶,2年又183天,24.49%,3年又33天
农银汇理多因子股票,006726,0.40亿元（2019-12-31）,5.15%,8.56%,7.55%,18.97%,--,19.76%,魏刚,1年又38天,19.76%,1年又347天
万家消费成长,519193,14.34亿元（2019-12-31）,9.42%,21.68%,24.71%,38.50%,101.51%,101.35%,孙远慧/莫海波/高源,350天,39.93%,3年又350天/4年又307天/4年又122天
工银国家战略股票,001719,1.20亿元（2019-12-31）,13.41%,23.38%,20.19%,49.85%,57.46%,48.80%,陈小鹭,206天,38.55%,3年又167天
