基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
中银新动力股票,000996,12.41亿元（2019-12-31）,5.50%,17.42%,23.82%,45.53%,4.48%,-13.70%,吴印,1年又309天,24.35%,8年又267天
创金合信新能源汽车股票A,005927,0.09亿元（2019-12-31）,5.98%,28.02%,37.61%,27.57%,--,33.81%,曹春林,1年又304天,33.81%,2年又244天
创金合信新能源汽车股票C,005928,0.10亿元（2019-12-31）,5.93%,27.82%,37.19%,26.69%,--,32.00%,曹春林,1年又304天,32.00%,2年又244天
安信量化优选股票A,006346,0.15亿元（2019-12-31）,14.38%,15.01%,17.19%,24.75%,--,52.39%,施荣盛,46天,5.47%,54天
安信量化优选股票C,006347,0.20亿元（2019-12-31）,14.33%,14.88%,16.94%,24.23%,--,51.70%,施荣盛,46天,5.40%,54天
国金量化多因子,006195,0.28亿元（2019-12-31）,8.32%,4.65%,0.12%,-3.04%,--,16.77%,杨雨龙,1年又128天,16.77%,3年又227天
中融量化小盘股票A,004272,0.18亿元（2019-12-31）,14.43%,17.56%,17.40%,15.42%,--,2.04%,易海波,1年又4天,19.39%,3年又62天
大摩品质生活精选股票,000309,4.08亿元（2019-12-31）,13.41%,24.39%,25.67%,32.31%,29.51%,145.30%,雷志勇/何晓春,322天,30.27%,322天/5年又361天
中融量化小盘股票C,004273,0.01亿元（2019-12-31）,14.44%,17.51%,17.27%,15.35%,--,0.98%,易海波,1年又4天,19.33%,3年又62天
南方智造股票,001696,0.96亿元（2019-12-31）,7.94%,21.04%,28.85%,51.96%,--,42.38%,应帅,2年又217天,42.38%,12年又304天
汇丰晋信低碳先锋股票,540008,4.63亿元（2019-12-31）,10.21%,45.13%,60.33%,40.58%,2.74%,84.64%,陆彬,182天,55.14%,294天
创金合信量化多因子股票A,002210,5.61亿元（2019-12-31）,13.08%,18.71%,16.48%,18.65%,4.45%,30.46%,董梁,246天,19.38%,2年又203天
申万菱信智能驱动股票,005825,1.30亿元（2019-12-31）,6.30%,23.59%,41.28%,67.40%,--,89.05%,张朋,1年又3天,69.40%,1年又256天
创金合信量化多因子股票C,003865,0.04亿元（2019-12-31）,13.01%,18.49%,16.08%,17.76%,2.28%,1.23%,董梁,246天,18.84%,2年又203天
汇添富新兴消费股票,001726,4.89亿元（2019-12-31）,0.24%,10.52%,12.86%,30.61%,27.89%,22.90%,刘伟林,2年又261天,25.15%,4年又97天
嘉实新兴产业股票,000751,22.80亿元（2019-12-31）,8.30%,23.40%,31.91%,72.85%,135.89%,265.40%,归凯,1年又94天,94.88%,3年又363天
银华中小市值量化优选C,005516,0.01亿元（2019-12-31）,11.04%,13.67%,10.05%,9.04%,--,1.92%,马君,1年又25天,27.10%,7年又186天
