基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
海富通融丰定开债券,005277,20.43亿元（2019-12-31）,0.93%,2.25%,2.96%,5.29%,--,14.45%,夏妍妍/张靖爽,1年又319天,12.68%,2年又62天/3年又229天
兴业瑞丰6个月定开债,004141,31.22亿元（2019-12-31）,0.96%,2.25%,2.97%,5.68%,--,17.31%,徐莹,1年又92天,6.90%,5年又361天
兴业3个月定开债券,005338,40.99亿元（2019-12-31）,0.97%,2.07%,2.90%,5.97%,--,10.56%,徐青,1年又10天,5.65%,3年又48天
上银聚鸿益三个月定开债,005432,25.54亿元（2019-12-31）,0.95%,2.23%,3.02%,5.89%,--,11.11%,倪侃,211天,3.40%,1年又231天
鹏华永安定期开放债券,004438,3.52亿元（2019-12-31）,1.12%,2.49%,3.48%,7.02%,--,19.63%,邓明明/祝松,276天,5.61%,276天/6年又15天
兴银汇福定开债,001619,5.36亿元（2020-02-28）,1.16%,2.40%,3.24%,--,--,5.46%,范泰奇/洪木妹,53天,1.77%,2年又84天/5年又194天
中融聚明定期开放债券,006120,10.55亿元（2019-12-31）,1.22%,2.84%,3.88%,6.66%,--,8.15%,王玥,327天,6.70%,5年又251天
鹏华丰泰定开债A,000289,5.69亿元（2019-12-31）,0.65%,1.77%,2.59%,4.13%,12.21%,47.39%,戴钢,6年又166天,47.39%,8年又92天
南方涪利定开债,005476,6.60亿元（2019-12-31）,0.84%,2.02%,3.09%,5.27%,--,12.26%,何康,1年又330天,12.26%,5年又112天
嘉实致融一年定期债券,008661,10.00亿元（2019-12-25）,0.97%,--,--,--,--,1.44%,胡永青,73天,1.44%,7年又306天
嘉实民企精选一年定开债,008118,2.86亿元（2019-12-04）,1.07%,2.08%,--,--,--,1.92%,轩璇/刘宁,93天,1.98%,123天/7年又1天
浙商兴永三个月定开债发起式,006284,5.26亿元（2019-12-31）,0.97%,2.45%,3.42%,--,--,5.19%,周锦程,318天,5.19%,3年又19天
博时富业3个月定开债,005462,20.93亿元（2019-12-31）,1.04%,2.52%,3.55%,6.19%,--,10.65%,倪玉娟,201天,3.71%,1年又333天
博时富汇3个月定开债发起式,007659,9.68亿元（2019-12-31）,0.92%,2.43%,3.18%,--,--,2.68%,陈黎,204天,2.68%,1年又333天
圆信永丰兴瑞定开债,005436,20.19亿元（2019-12-31）,0.88%,2.23%,2.67%,5.28%,--,10.94%,余文龙,11天,0.33%,3年又138天
易方达恒利定期开放债券,007104,15.07亿元（2019-12-31）,1.01%,2.03%,2.59%,--,--,4.69%,纪玲云/胡剑,338天,4.69%,6年又176天/8年又9天
易方达恒益定开债券发起式,005124,60.14亿元（2019-12-31）,0.93%,2.17%,2.68%,5.84%,--,14.41%,李一硕/胡剑,171天,2.62%,5年又240天/8年又9天
华泰保兴尊享定开,007767,2.03亿元（2019-12-31）,1.13%,2.48%,3.03%,--,--,3.05%,周咏梅,187天,3.05%,2年又30天
富国臻利纯债定开债券,005369,45.30亿元（2019-12-31）,0.84%,2.00%,2.62%,5.51%,--,13.06%,武磊/黄纪亮,1年又329天,13.06%,3年又6天/7年又11天
海富通恒丰定开债券,005485,25.53亿元（2019-12-31）,0.83%,2.09%,2.62%,7.18%,--,12.37%,陈轶平,1年又329天,12.37%,6年又192天
平安季享裕定开债E,007647,28.25亿元（2019-12-31）,1.13%,2.63%,3.96%,--,--,3.96%,张文平,185天,3.96%,4年又220天
长信稳鑫三个月定开债发起式,005575,10.11亿元（2019-12-31）,1.44%,2.61%,3.46%,5.44%,--,12.56%,段博卿/陆莹,5天,0.17%,99天/3年又69天
平安季开鑫定开债A,007053,3.09亿元（2019-12-31）,0.80%,2.72%,3.94%,--,--,4.29%,高勇标,206天,4.29%,2年又254天
平安季开鑫定开债C,007054,0.05亿元（2019-12-31）,0.79%,2.70%,3.92%,--,--,4.26%,高勇标,206天,4.26%,2年又254天
景顺长城景泰汇利定开债C,008554,0.00亿元（2019-12-31）,1.09%,--,--,--,--,2.61%,何江波/袁媛,79天,2.61%,1年又22天/5年又339天
华安鼎信3个月定开债,007420,10.35亿元（2019-12-31）,1.48%,2.43%,3.01%,--,--,4.57%,朱才敏,297天,4.57%,5年又109天
平安季享裕定开债A,007645,5.78亿元（2019-12-31）,1.15%,2.69%,4.08%,--,--,4.09%,张文平,185天,4.09%,4年又220天
华夏鼎泰六个月定开债A,005407,50.69亿元（2019-12-31）,0.91%,2.15%,2.80%,5.48%,--,12.70%,柳万军,1年又329天,12.70%,6年又68天
南方鑫利3个月定开债,007025,3.21亿元（2019-12-31）,0.22%,1.39%,2.39%,--,--,4.61%,王啸/何康,22天,0.05%,3年又89天/5年又112天
景顺长城景泰汇利定开债A,003605,8.51亿元（2019-12-31）,1.10%,2.77%,3.42%,5.91%,17.83%,19.01%,袁媛/何江波,360天,5.87%,5年又339天/1年又22天
兴银汇逸定开债,007563,10.54亿元（2020-02-28）,1.13%,2.74%,3.91%,--,--,4.78%,李文程/范泰奇,59天,2.09%,1年又331天/2年又84天
西部利得聚享一年定开债券C,007378,0.03亿元（2019-12-31）,1.55%,2.77%,3.87%,--,--,5.41%,严志勇,254天,5.41%,2年又211天
平安合正定开债,005127,30.31亿元（2019-12-31）,1.18%,2.79%,4.02%,6.85%,--,15.29%,张恒,213天,4.54%,2年又59天
西部利得聚享一年定开债券A,007377,2.47亿元（2019-12-31）,1.60%,2.87%,4.08%,--,--,5.70%,严志勇,254天,5.70%,2年又211天
汇添富鑫永定开债A,005590,56.52亿元（2019-12-31）,0.67%,1.70%,2.13%,4.85%,--,12.63%,胡娜,191天,2.21%,4年又146天
易方达恒惠定开债,006112,7.29亿元（2019-12-31）,1.03%,2.29%,2.72%,5.93%,--,11.48%,李一硕,1年又255天,11.48%,5年又240天
易方达恒信定期开放债券,005740,46.74亿元（2019-12-31）,0.88%,2.14%,2.87%,5.56%,--,11.59%,李一硕,1年又346天,11.59%,5年又240天
汇添富鑫成定开债A,005857,20.60亿元（2019-12-31）,1.14%,2.30%,2.49%,5.08%,--,11.82%,徐光,1年又112天,7.20%,1年又199天
安信永丰定开债券C,003274,0.15亿元（2019-12-31）,0.93%,2.26%,2.71%,5.65%,8.23%,6.71%,潘巍,1年又92天,6.71%,1年又177天
安信永丰定开债券A,003273,0.48亿元（2019-12-31）,0.94%,2.30%,2.80%,5.85%,8.90%,7.47%,潘巍,1年又92天,6.96%,1年又177天
国投瑞银顺鑫定开,002964,20.86亿元（2019-12-31）,1.01%,1.86%,2.72%,4.67%,15.32%,13.57%,颜文浩,112天,2.01%,5年又188天
富国强回报定开债C,100073,0.38亿元（2019-12-31）,1.09%,2.95%,4.11%,8.13%,21.14%,61.41%,黄纪亮,4年又328天,36.88%,7年又11天
华泰保兴尊颐定开,006188,4.27亿元（2019-12-31）,1.13%,2.56%,3.05%,5.26%,--,9.70%,周咏梅,1年又225天,9.70%,2年又30天
民生加银和鑫定开债,002452,50.95亿元（2019-12-31）,0.82%,2.06%,2.62%,4.72%,27.88%,35.17%,姚航,123天,2.50%,6年又48天
国投瑞银顺悦债券,007445,2.10亿元（2019-12-31）,0.28%,--,--,--,--,0.46%,徐栋,67天,0.46%,6年又73天
富国强回报定开债A/B,100072,4.00亿元（2019-12-31）,1.11%,3.03%,4.28%,8.51%,22.78%,67.83%,黄纪亮,4年又328天,40.41%,7年又11天
华泰保兴尊信定开债,005645,4.69亿元（2019-12-31）,0.75%,1.85%,2.46%,4.63%,--,11.82%,周咏梅,2年又30天,11.82%,2年又30天
兴银汇裕定开债,008406,10.09亿元（2020-02-28）,0.89%,--,--,--,--,1.29%,傅峤钰,86天,1.29%,1年又256天
民生加银汇鑫一年定开债A,004254,11.32亿元（2019-12-31）,0.91%,2.55%,3.49%,6.28%,--,19.89%,邱世磊,86天,2.52%,4年又39天
中融聚业定期开放债券,005637,10.13亿元（2019-12-31）,0.79%,1.88%,2.73%,4.33%,--,5.85%,朱柏蓉,80天,1.72%,1年又37天
民生加银汇鑫一年定开债C,004255,3.43亿元（2019-12-31）,0.89%,2.47%,3.33%,5.96%,--,18.88%,邱世磊,86天,2.44%,4年又39天
兴银长盈三个月定开债,004123,20.47亿元（2020-02-28）,1.05%,2.44%,3.27%,5.63%,--,16.58%,陶国峰,46天,1.58%,95天
金鹰添鑫定开债发起式,006788,10.17亿元（2019-12-31）,0.66%,1.71%,2.11%,4.37%,--,4.81%,林暐/黄倩倩,239天,3.03%,255天/2年又275天
国泰兴富三个月定开债,007278,10.17亿元（2019-12-31）,0.92%,2.40%,3.27%,--,--,3.68%,黄志翔/吴晨,225天,3.68%,3年又121天/9年又315天
中加颐瑾定开债券A,006963,20.48亿元（2019-12-31）,0.93%,2.25%,2.98%,--,--,3.64%,王霈,3天,0.10%,17天
中信保诚惠泽18个月定开债券,165530,15.32亿元（2019-12-31）,1.04%,2.61%,3.78%,7.07%,23.18%,19.78%,何文忠,52天,1.68%,344天
兴业嘉瑞6个月定开债A,003952,10.43亿元（2019-12-31）,1.11%,2.53%,3.45%,6.31%,--,18.63%,徐青,1年又304天,13.60%,3年又48天
兴业嘉瑞6个月定开债C,003953,0.00亿元（2019-12-31）,1.04%,2.37%,3.15%,5.77%,--,17.16%,徐青,1年又304天,12.63%,3年又48天
华安安平6个月定开债,007213,10.32亿元（2019-12-31）,1.19%,2.85%,3.45%,--,--,4.65%,郑如熙,275天,4.65%,2年又248天
平安季享裕定开债C,007646,0.21亿元（2019-12-31）,1.13%,2.65%,4.03%,--,--,4.03%,张文平,185天,4.03%,4年又220天
平安季开鑫定开债E,007055,6.02亿元（2019-12-31）,0.78%,2.65%,3.81%,--,--,4.14%,高勇标,206天,4.14%,2年又254天
平安季添盈定开债C,006987,0.13亿元（2019-12-31）,1.06%,2.55%,3.29%,3.29%,--,3.29%,WANG AO(汪澳)/张恒,269天,3.29%,4年又125天/2年又59天
易方达恒安定开债发起式,005439,20.46亿元（2019-12-31）,0.83%,2.16%,2.58%,5.00%,--,10.84%,石大怿/王晓晨,106天,2.28%,7年又103天/8年又207天
平安季添盈定开债E,006988,11.23亿元（2019-12-31）,1.04%,2.52%,3.71%,5.86%,--,5.86%,WANG AO(汪澳)/张恒,269天,5.34%,4年又125天/2年又59天
富国尊利纯债定开债,005841,34.14亿元（2019-12-31）,0.84%,2.03%,2.82%,5.59%,--,12.03%,武磊/黄纪亮,1年又298天,12.26%,3年又6天/7年又11天
平安季添盈定开债A,006986,7.50亿元（2019-12-31）,1.06%,2.58%,3.85%,6.13%,--,6.13%,WANG AO(汪澳)/张恒,269天,5.54%,4年又125天/2年又59天
平安合丰定开债,005895,25.80亿元（2019-12-31）,0.78%,1.87%,2.88%,4.81%,--,10.47%,余斌,199天,3.03%,2年又143天
诺安圆鼎定开债,005547,3.03亿元（2019-12-31）,0.72%,1.43%,2.45%,5.17%,--,12.48%,郭晓晖/裴禹翔,1年又101天,7.00%,1年又101天/4年又31天
工银瑞丰定开纯债,002603,150.18亿元（2019-12-31）,0.52%,0.93%,1.58%,4.46%,22.03%,20.81%,李娜,1年又333天,16.50%,3年又43天
农银汇理金利一年定开债,003051,5.67亿元（2019-12-31）,1.11%,1.74%,2.39%,5.29%,12.31%,13.18%,史向明,3年又126天,13.18%,11年又121天
融通增祥三个月定开债,002719,2.64亿元（2019-12-31）,1.51%,2.82%,1.94%,5.94%,14.06%,17.59%,许富强,1年又294天,9.19%,1年又294天
平安合瑞定开债,005766,10.76亿元（2019-12-31）,1.01%,2.50%,3.05%,5.69%,--,12.59%,余斌,213天,3.39%,2年又143天
博时安弘一年定开债发起式C,003683,0.00亿元（2019-12-31）,1.29%,3.21%,4.81%,8.37%,17.27%,16.76%,魏桢,3年又113天,16.76%,7年又40天
博时安弘一年定开债发起式A,003682,5.90亿元（2019-12-31）,1.33%,3.31%,5.01%,8.80%,18.68%,18.31%,魏桢,3年又113天,18.31%,7年又40天
平安惠金定开债C,006717,23.84亿元（2019-12-31）,0.74%,1.81%,2.77%,5.60%,--,6.81%,WANG AO(汪澳),138天,2.50%,4年又125天
国泰惠享三个月定开债,007871,5.10亿元（2019-12-06）,0.68%,1.05%,--,--,--,1.05%,黄志翔,92天,1.05%,3年又121天
博时裕盈3个月定开债,001546,19.84亿元（2019-12-31）,1.01%,2.40%,4.07%,6.87%,18.61%,22.89%,程卓,362天,6.75%,3年又209天
招商添韵3个月定开债A,007908,15.10亿元（2019-11-08）,0.45%,1.19%,--,--,--,1.29%,康晶,122天,1.29%,4年又216天
博时广利纯债3个月定开,004334,30.81亿元（2019-12-31）,0.63%,1.62%,2.65%,4.91%,17.01%,17.21%,黄海峰,1年又284天,10.64%,4年又321天
泰达宏利鑫利债券A,007641,3.77亿元（2019-12-31）,0.60%,1.49%,2.43%,--,--,2.47%,李祥源/傅浩,110天,1.84%,143天/3年又2天
嘉实丰安6个月定期债券,004030,15.29亿元（2019-12-31）,0.57%,1.59%,2.31%,4.49%,14.99%,15.41%,王亚洲,3年又69天,15.41%,4年又243天
兴银长益三个月定开债,004122,31.11亿元（2020-02-28）,1.16%,2.75%,3.70%,6.15%,--,17.62%,范泰奇,46天,1.81%,2年又84天
中融聚通定期开放债券,007175,5.00亿元（2019-11-22）,2.13%,2.97%,--,--,--,3.04%,哈默/王玥,92天,2.97%,4年又168天/5年又251天
招商添利6个月定开债发起式A,006107,31.20亿元（2019-12-31）,0.84%,2.32%,3.13%,5.76%,--,10.05%,康晶/刘万锋,203天,3.23%,4年又216天/5年又54天
国泰瑞安三个月定期开放债券,006994,10.33亿元（2019-12-31）,0.98%,2.46%,3.16%,--,--,4.36%,黄志翔,282天,4.36%,3年又121天
招商添德3个月定开债A,006393,9.34亿元（2019-12-31）,0.43%,1.21%,1.90%,3.58%,--,7.19%,滕越,1年又177天,7.19%,2年又362天
融通通昊三个月定开债,005289,10.24亿元（2019-12-31）,0.88%,2.19%,3.04%,5.74%,--,13.97%,张一格/黄浩荣,1年又259天,13.85%,6年又293天/2年又223天
万家强化收益定开债,161911,3.54亿元（2019-12-31）,1.00%,2.70%,4.08%,5.85%,19.22%,56.12%,陈奕雯/苏谋东,1年又15天,5.52%,1年又15天/6年又284天
银华添润定期开放债券,004087,20.78亿元（2019-12-31）,0.83%,2.05%,2.80%,5.24%,--,15.76%,邹维娜,3年又1天,15.76%,6年又214天
平安合悦定开债,005884,10.21亿元（2019-12-31）,1.14%,3.03%,4.25%,7.01%,--,11.29%,余斌,191天,4.30%,2年又143天
南方畅利定开债发起式,006653,20.76亿元（2019-12-31）,0.83%,1.99%,2.56%,4.85%,--,5.66%,黄斌斌,22天,0.58%,2年又27天
长城久荣纯债定开,005845,41.13亿元（2019-12-31）,0.71%,1.79%,2.62%,4.77%,--,7.96%,蔡旻,1年又268天,7.96%,5年又43天
汇添富鑫益定开债发起式A,004469,15.76亿元（2019-12-31）,0.61%,1.54%,2.24%,4.07%,--,12.76%,徐一恒,185天,2.28%,185天
诺安浙享定开债券,005655,10.39亿元（2019-12-31）,1.46%,2.44%,3.19%,4.79%,--,8.21%,裴禹翔/岳帅,1年又122天,7.51%,4年又31天/3年又183天
中信嘉鑫3个月定开债,005617,64.05亿元（2019-12-31）,0.92%,2.19%,3.09%,5.98%,--,13.63%,吴胤希,2年又37天,13.63%,3年又145天
