基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
银华岁丰定期开放债券发起式,005286,5.33亿元（2019-12-31）,0.94%,2.32%,3.20%,5.58%,--,13.43%,吴文明,2年又25天,13.43%,2年又358天
安信永盛定开债券,005677,17.19亿元（2019-12-31）,0.50%,1.43%,2.14%,4.15%,--,7.96%,李巍/庄园,1年又254天,6.94%,1年又254天/6年又228天
富国祥利一年期定期开放债券型A,000516,20.10亿元（2019-12-31）,1.07%,2.81%,3.89%,7.91%,--,19.84%,黄纪亮,2年又190天,19.84%,7年又11天
浦银安盛盛勤3个月定开债A,519334,50.60亿元（2019-12-31）,0.53%,1.36%,2.09%,2.94%,--,9.01%,李羿/刘大巍,236天,2.58%,5年又175天/3年又203天
兴全稳益定开债发起式,001819,104.63亿元（2019-12-31）,1.07%,2.81%,3.81%,6.43%,20.12%,32.56%,王健/翟秀华,1年又210天,10.49%,1年又210天/3年又356天
汇添富鑫利定开债券C,003533,0.00亿元（2019-12-31）,0.58%,1.59%,2.15%,3.97%,--,11.65%,吴江宏,2年又360天,11.65%,4年又235天
万家恒瑞18个月定开债A,003159,5.40亿元（2019-12-31）,0.57%,1.55%,2.44%,4.26%,12.12%,9.88%,周潜玮,1年又359天,9.26%,2年又7天
招商招惠3个月定期开放债券A,003442,70.47亿元（2019-12-31）,0.56%,1.97%,2.66%,5.58%,16.06%,16.35%,夏里鹏,1天,0.00%,1天
兴全祥泰定期开放债券,005712,11.49亿元（2019-12-31）,0.98%,2.47%,3.43%,6.63%,--,16.19%,王健/翟秀华,1年又210天,10.86%,1年又210天/3年又356天
招商招乾3个月定开债A,003269,42.64亿元（2019-12-31）,0.47%,1.93%,2.57%,5.51%,14.28%,36.53%,周欣宇,2年又6天,11.85%,2年又120天
中海瑞利六个月定开债,000316,5.99亿元（2019-12-31）,0.55%,1.15%,1.37%,1.43%,4.04%,26.08%,邵强,319天,1.34%,1年又17天
南方多元定开债券,003406,50.94亿元（2019-12-31）,5.74%,6.48%,7.02%,8.82%,34.10%,33.48%,刘文良,344天,8.46%,4年又201天
浦银安盛盛煊定开债券,007772,40.45亿元（2019-12-31）,0.58%,1.63%,2.09%,--,--,2.21%,章潇枫,213天,2.21%,2年又297天
工银瑞景定开发起式债券,005772,121.46亿元（2019-12-31）,0.70%,1.25%,2.22%,4.41%,--,7.91%,陈桂都,206天,2.40%,3年又187天
泰达宏利交利3个月定开债C,005316,0.00亿元（2019-06-30）,0.62%,1.55%,-2.89%,-0.76%,--,2.81%,傅浩,2年又71天,2.81%,3年又2天
中融聚汇定期开放债券,006706,10.14亿元（2019-12-31）,0.35%,1.03%,1.86%,--,--,1.98%,朱柏蓉/王玥,169天,1.75%,1年又37天/5年又251天
泰达宏利交利3个月定开债A,005315,10.44亿元（2019-12-31）,0.62%,1.55%,2.42%,4.67%,--,11.64%,傅浩,2年又71天,11.64%,3年又2天
招商招信定开债A,003450,20.75亿元（2019-12-31）,0.73%,1.20%,1.52%,3.78%,--,14.33%,许强,2年又363天,14.33%,4年又31天
易方达恒兴3个月定开债,007451,10.16亿元（2019-12-31）,1.06%,2.29%,--,--,--,2.51%,张雅君/王晓晨,144天,2.51%,5年又233天/8年又207天
招商添荣3个月定开债A,006325,10.14亿元（2019-12-31）,0.71%,3.20%,3.76%,6.40%,--,7.53%,康晶,1年又106天,7.53%,4年又216天
中欧弘涛一年定期开放债券,004850,3.45亿元（2019-12-31）,1.74%,2.92%,3.46%,6.12%,--,15.15%,刘波,197天,3.25%,6年又170天
南方惠利6个月定开债C,006996,0.24亿元（2019-12-31）,1.23%,2.82%,3.51%,--,--,5.49%,金凌志,347天,5.49%,2年又223天
嘉实致兴定开债发起式,005670,61.45亿元（2019-12-31）,0.39%,0.92%,1.78%,5.19%,--,14.60%,尹页,64天,0.61%,1年又167天
平安合慧定开债,005896,20.71亿元（2019-12-31）,0.66%,1.37%,1.97%,3.74%,--,6.93%,余斌,199天,2.05%,2年又143天
富国祥利一年期定期开放债券型C,000517,0.00亿元（2019-12-31）,1.04%,2.71%,3.68%,7.46%,--,18.63%,黄纪亮,2年又190天,18.63%,7年又11天
浦银安盛盛勤3个月定开债C,519335,0.00亿元（2019-12-31）,0.51%,1.31%,2.04%,2.75%,--,8.07%,李羿/刘大巍,236天,2.54%,5年又175天/3年又203天
富国汇利回报两年定期开放债券,161014,5.03亿元（2019-12-31）,1.33%,3.23%,4.11%,8.15%,22.64%,87.40%,黄纪亮,4年又361天,36.84%,7年又11天
招商招乾3个月定开债C,003270,0.00亿元（2019-12-31）,0.45%,1.89%,2.50%,5.42%,13.59%,31.29%,周欣宇,2年又6天,11.60%,2年又120天
安信丰泽39个月定开债,008523,10.00亿元（2020-03-05）,--,--,--,--,--,0.02%,王涛,2天,0.02%,3年又299天
华泰柏瑞益通三个月定开债,007958,0.10亿元（2019-11-15）,0.82%,1.08%,--,--,--,1.07%,罗远航,113天,1.07%,5年又90天
嘉实致禄3个月定期纯债债券,007986,2.10亿元（2019-12-04）,0.40%,0.80%,--,--,--,0.76%,尹页/王茜,87天,0.86%,1年又167天/16年又41天
国投瑞银顺银定开债,005435,12.20亿元（2019-12-31）,0.80%,1.36%,1.93%,3.95%,--,8.75%,李鸥/宋璐,112天,1.50%,120天/3年又225天
嘉实致安3个月定期债券,007879,5.13亿元（2019-12-31）,1.44%,3.05%,--,--,--,3.65%,胡永青,163天,3.65%,7年又306天
富国绿色纯债一年定开债,005383,1.37亿元（2019-12-31）,1.07%,2.68%,3.31%,5.92%,--,16.04%,朱梦娜,351天,5.74%,1年又15天
大成惠裕定开纯债债券,003841,5.07亿元（2019-12-31）,0.19%,0.89%,1.41%,2.78%,--,13.01%,陈会荣/孙丹,1年又116天,4.38%,3年又214天/2年又304天
景顺长城弘利39个月定开债,008333,79.53亿元（2019-12-24）,0.20%,--,--,--,--,0.50%,成念良,74天,0.50%,4年又88天
民生加银39个月定期纯债,008693,78.00亿元（2020-01-17）,0.31%,--,--,--,--,0.35%,陆欣,50天,0.35%,9年又163天
建信荣禧一年定期开放债券,007699,6.27亿元（2019-12-13）,0.12%,--,--,--,--,0.47%,于倩倩,85天,0.47%,6年又216天
工银泰颐三年定开债券A,008471,61.80亿元（2019-12-27）,0.20%,--,--,--,--,0.48%,陈桂都,71天,0.48%,3年又187天
大成通嘉三年定开债券A,008003,72.10亿元（2019-11-25）,0.23%,0.71%,--,--,--,0.79%,李富强,103天,0.79%,3年又160天
大成通嘉三年定开债券C,008004,0.00亿元（2019-11-25）,0.21%,0.64%,--,--,--,0.71%,李富强,103天,0.71%,3年又160天
工银瑞弘3个月定开债,007585,10.10亿元（2019-11-19）,1.27%,2.17%,--,--,--,2.13%,陈桂都,109天,2.13%,3年又187天
嘉实安元39个月定期纯债A,008338,202.01亿元（2019-12-09）,0.23%,--,--,--,--,0.68%,王茜,89天,0.68%,16年又41天
嘉实致元42个月定期债券,007589,22.40亿元（2019-12-31）,0.25%,0.71%,1.52%,--,--,1.70%,崔思维/胡永青,214天,1.70%,2年又245天/7年又306天
招商招利一年理财债券,004780,2.12亿元（2019-12-31）,0.31%,1.07%,-2.99%,-0.23%,--,6.12%,郭敏,1年又77天,0.76%,1年又91天
广发汇康定期开放债券,005745,5.25亿元（2019-12-31）,0.98%,2.50%,3.20%,5.20%,--,10.11%,洪志/谢军,150天,3.07%,1年又57天/13年又180天
信诚年年有余定开债A,000360,0.11亿元（2019-12-31）,0.48%,3.75%,3.15%,2.89%,10.47%,38.67%,吴胤希,103天,3.84%,3年又145天
富国泰利定开债发起式,002483,4.27亿元（2019-12-31）,1.07%,2.59%,3.63%,6.88%,20.75%,22.80%,俞晓斌,354天,6.32%,3年又68天
信诚年年有余定开债B,000361,0.01亿元（2019-12-31）,0.50%,3.67%,2.97%,2.45%,9.27%,35.29%,吴胤希,103天,3.76%,3年又145天
嘉实如意宝定期债券A/B,000113,9.97亿元（2019-12-31）,1.04%,2.28%,2.70%,4.40%,14.56%,43.70%,刘宁,3年又96天,13.58%,7年又1天
鹏华丰实定开债B,000296,0.12亿元（2019-12-31）,3.28%,5.00%,5.98%,9.76%,15.38%,48.47%,戴钢,6年又180天,48.47%,8年又92天
富国目标齐利一年期纯债债券,000469,12.32亿元（2019-12-31）,0.83%,2.14%,2.43%,5.57%,17.02%,34.23%,黄纪亮,115天,2.07%,7年又11天
长城定开债A,000254,1.85亿元（2019-12-31）,-0.04%,1.05%,0.97%,2.58%,8.71%,45.51%,张棪/蔡旻,2年又183天,7.80%,2年又183天/5年又43天
富国目标收益一年期纯债债券,000197,8.53亿元（2019-12-31）,1.10%,2.80%,2.89%,5.61%,16.83%,43.61%,俞晓斌/王颀亮,292天,4.72%,3年又68天/5年又195天
长城定开债C,000255,0.27亿元（2019-12-31）,-0.06%,0.95%,0.77%,2.17%,7.44%,41.85%,张棪/蔡旻,2年又183天,6.74%,2年又183天/5年又43天
易方达永旭定开债,161117,13.45亿元（2019-12-31）,0.93%,2.35%,3.11%,6.13%,18.19%,67.24%,李一硕,4年又360天,36.06%,5年又240天
景顺长城景瑞收益定开债,001750,0.38亿元（2019-12-31）,0.47%,1.43%,1.82%,4.11%,5.23%,11.45%,何江波,1年又21天,4.93%,1年又22天
兴银长乐定开债,001246,51.51亿元（2020-02-28）,0.98%,2.37%,3.45%,6.09%,18.34%,29.54%,范泰奇,46天,1.47%,2年又84天
诺安泰鑫一年定开债A,000201,4.28亿元（2019-12-31）,1.73%,2.72%,3.62%,6.22%,17.41%,42.36%,岳帅,2年又190天,16.48%,3年又183天
融通月月添利定开债A,000437,6.51亿元（2019-12-31）,1.14%,2.88%,3.75%,6.36%,15.08%,29.62%,朱浩然,1年又349天,14.04%,2年又181天
汇添富稳添利定开债C,002488,0.00亿元（2019-12-31）,0.28%,1.04%,1.32%,2.49%,7.31%,7.20%,蒋文玲,192天,1.52%,6年又37天
易方达纯债1年定开债C,000112,0.16亿元（2019-12-31）,0.87%,2.04%,2.73%,4.64%,16.11%,41.78%,李一硕,4年又360天,27.89%,5年又240天
南方金利定开债(LOF)C,160129,0.57亿元（2019-12-31）,0.88%,2.37%,3.26%,7.01%,21.28%,64.61%,李璇,4年又83天,24.58%,9年又164天
富国两年期理财债券C,002899,0.00亿元（2019-12-31）,0.19%,0.58%,2.05%,3.87%,10.38%,10.93%,俞晓斌/王颀亮,1年又18天,3.98%,3年又68天/5年又195天
富国两年期理财债券A,002898,29.01亿元（2019-12-31）,0.29%,0.77%,2.33%,4.46%,12.09%,12.77%,俞晓斌/王颀亮,1年又18天,4.57%,3年又68天/5年又195天
汇添富长添利定开债C,003529,0.00亿元（2019-12-31）,0.20%,0.60%,1.43%,3.05%,9.94%,10.49%,杨靖,192天,1.43%,1年又14天
中银丰进定期开放债券,005072,20.74亿元（2019-12-31）,0.07%,1.12%,1.69%,3.94%,--,16.83%,田原,318天,4.16%,1年又14天
汇添富长添利定开债A,003528,151.09亿元（2019-12-31）,0.20%,0.70%,1.54%,3.36%,11.02%,11.68%,杨靖,192天,1.64%,1年又14天
建信荣瑞一年定期开放债券,007830,54.83亿元（2019-11-20）,0.17%,0.52%,--,--,--,0.62%,刘思,108天,0.62%,3年又232天
上投摩根岁岁益定开A,004627,1.08亿元（2019-12-31）,0.65%,1.40%,2.01%,4.05%,--,10.16%,聂曙光,191天,2.14%,9年又189天
上投摩根岁岁益定开C,004628,0.00亿元（2019-12-31）,0.55%,1.25%,1.76%,3.61%,--,9.15%,聂曙光,191天,1.89%,9年又189天
大成惠嘉一年定开债券,007967,20.25亿元（2019-12-09）,0.13%,--,--,--,--,0.49%,李富强,89天,0.49%,3年又160天
嘉实安元39个月定期纯债C,008339,0.00亿元（2019-12-09）,0.20%,--,--,--,--,0.58%,王茜,89天,0.58%,16年又41天
工银泰颐三年定开债券C,008472,0.00亿元（2019-12-27）,0.16%,--,--,--,--,0.39%,陈桂都,71天,0.39%,3年又187天
光大添天盈五年定开债,360019,0.86亿元（2019-12-31）,-23.01%,-22.64%,-22.19%,-21.17%,-14.57%,0.00%,沈荣,1年又349天,-18.41%,2年又218天
中加颐瑾定开债券C,006964,0.00亿元（2019-12-31）,0.00%,0.00%,0.00%,--,--,0.00%,王霈,3天,0.00%,17天
平安增利六个月定开债C,008691,0.74亿元（2020-03-05）,--,--,--,--,--,0.00%,高勇标,2天,0.00%,2年又254天
平安增利六个月定开债A,008690,11.31亿元（2020-03-05）,--,--,--,--,--,0.00%,高勇标,2天,0.00%,2年又254天
平安增利六个月定开债E,008692,14.56亿元（2020-03-05）,--,--,--,--,--,0.00%,高勇标,2天,0.00%,2年又254天
大成景盛一年定开债A,002946,0.58亿元（2019-12-31）,2.68%,4.70%,2.93%,7.96%,7.50%,8.10%,李富强,1年又231天,8.71%,3年又160天
大成景盛一年定开债C,002947,0.02亿元（2019-12-31）,2.66%,4.60%,2.74%,7.53%,6.21%,6.67%,李富强,1年又231天,8.00%,3年又160天
中加聚利纯债定开C,006589,1.30亿元（2019-12-31）,2.07%,3.43%,4.99%,9.25%,--,11.11%,闫沛贤,1年又101天,11.11%,6年又139天
中加聚利纯债定开A,006588,15.59亿元（2019-12-31）,2.11%,3.51%,5.16%,9.62%,--,11.60%,闫沛贤,1年又101天,11.60%,6年又139天
南方永利1年定开债A,160130,0.71亿元（2019-12-31）,0.66%,3.47%,3.77%,7.52%,12.83%,59.55%,刘文良,3年又103天,4.68%,4年又201天
南方永利1年定开债C,160132,0.01亿元（2019-12-31）,0.57%,3.24%,3.54%,7.02%,11.44%,52.10%,刘文良,3年又103天,3.24%,4年又201天
安信永泰定开债发起式,005479,23.16亿元（2019-12-31）,1.35%,4.23%,4.69%,10.04%,--,18.35%,钟光正/王涛/肖芳芳,1年又72天,13.36%,8年又226天/3年又299天/2年又275天
汇添富6月红添利定开债C,470089,0.01亿元（2019-12-31）,2.22%,3.11%,3.11%,6.74%,15.89%,41.28%,吴江宏/郑慧莲,61天,2.02%,4年又235天/2年又86天
汇添富6月红添利定开债A,470088,11.42亿元（2019-12-31）,2.22%,3.21%,3.31%,7.18%,17.26%,45.46%,吴江宏/郑慧莲,61天,2.02%,4年又235天/2年又86天
富国祥利定开债发起式,002782,3.10亿元（2019-12-31）,1.77%,6.12%,6.54%,12.23%,13.81%,13.47%,张明凯/俞晓斌,354天,12.23%,5年又31天/3年又68天
中融增鑫定开债A,000400,0.48亿元（2019-12-31）,0.22%,0.95%,1.62%,2.82%,10.72%,38.40%,李倩,327天,3.05%,5年又139天
中融增鑫定开债C,000401,0.09亿元（2019-12-31）,0.00%,0.67%,1.20%,2.20%,9.15%,34.80%,李倩,327天,2.51%,5年又139天
新疆前海联合添鑫定开债A,003471,0.09亿元（2019-12-31）,1.84%,3.10%,3.76%,14.14%,24.97%,17.62%,敬夏玺,164天,3.85%,3年又202天
新疆前海联合添鑫定开债C,003472,1.04亿元（2019-12-31）,1.79%,2.99%,3.55%,11.21%,20.51%,13.26%,敬夏玺,164天,3.66%,3年又202天
鹏华丰融定开债,000345,5.96亿元（2019-12-31）,1.38%,2.47%,4.60%,10.54%,37.45%,71.80%,刘涛,3年又285天,40.07%,3年又285天
浦银安盛季季添利债券C,519124,0.04亿元（2019-12-31）,0.89%,1.49%,1.64%,3.66%,8.88%,36.10%,刘大巍,3年又195天,8.02%,3年又203天
工银信用纯债两年定开债A,000078,6.63亿元（2019-12-31）,1.25%,2.15%,3.07%,5.92%,14.85%,37.70%,朱晨杰,149天,2.76%,1年又287天
工银信用纯债一年定开债A,000074,3.41亿元（2019-12-31）,1.00%,1.61%,2.09%,5.00%,17.57%,51.20%,李娜/何秀红,138天,1.96%,3年又43天/9年又28天
浦银安盛季季添利债券A,519123,0.50亿元（2019-12-31）,1.01%,1.60%,1.90%,4.11%,10.11%,39.40%,刘大巍,3年又195天,9.42%,3年又203天
大摩添利18个月定开债A,000415,12.18亿元（2019-12-31）,1.51%,2.51%,3.86%,6.99%,21.46%,47.30%,李轶,5年又188天,47.30%,11年又118天
工银信用纯债两年定开债C,000079,0.17亿元（2019-12-31）,1.21%,1.98%,2.84%,5.42%,13.44%,34.20%,朱晨杰,149天,2.60%,1年又287天
工银信用纯债一年定开债C,000077,0.62亿元（2019-12-31）,0.96%,1.52%,1.87%,4.62%,16.19%,47.10%,李娜/何秀红,138天,1.80%,3年又43天/9年又28天
大摩添利18个月定开债C,000416,3.46亿元（2019-12-31）,1.46%,2.41%,3.62%,6.55%,20.04%,44.21%,李轶,5年又188天,44.21%,11年又118天
华商瑞鑫定开债,002924,0.81亿元（2019-12-31）,3.75%,10.58%,11.07%,14.34%,22.56%,24.40%,张永志,3年又196天,24.40%,9年又213天
华富恒富18个月定开债A,000502,2.55亿元（2019-12-31）,2.83%,6.03%,6.41%,9.21%,23.45%,53.92%,姚姣姣,1年又163天,15.60%,3年又63天
浦银月月盈定期支付债券A,519128,0.20亿元（2019-12-31）,1.16%,2.10%,2.18%,4.55%,12.36%,21.80%,刘大巍,2年又325天,12.67%,3年又203天
工银目标收益一年定开A,006470,5.16亿元（2019-12-31）,1.76%,3.06%,3.14%,6.58%,--,9.47%,李敏,58天,2.02%,6年又150天
华富恒富18个月定开债C,000501,0.13亿元（2019-12-31）,2.78%,5.92%,6.19%,8.75%,22.88%,37.40%,姚姣姣,1年又163天,14.93%,3年又63天
泓德裕鑫一年定开债券A,004196,4.14亿元（2019-12-31）,1.92%,3.04%,3.74%,7.67%,--,22.20%,赵端端/李倩,1年又134天,11.70%,1年又164天/4年又78天
工银目标收益一年定开C,000728,0.61亿元（2019-12-31）,1.68%,2.90%,2.99%,6.16%,13.01%,25.89%,李敏,58天,1.94%,6年又150天
银河久益回报6个月定开A,519662,19.55亿元（2019-12-31）,0.93%,1.41%,1.96%,2.48%,8.48%,73.79%,蒋磊,2年又313天,8.14%,3年又194天
长盛年年收益定期债券C,000226,0.02亿元（2019-12-31）,1.45%,2.14%,2.41%,4.93%,7.17%,30.64%,段鹏,5年又136天,14.09%,5年又333天
长盛年年收益定期债券A,000225,0.44亿元（2019-12-31）,1.51%,2.20%,2.56%,5.22%,8.12%,33.10%,段鹏,5年又136天,15.94%,5年又333天
泓德裕鑫一年定开债券C,004197,0.00亿元（2019-12-31）,1.94%,2.89%,3.51%,7.27%,--,21.00%,赵端端/李倩,1年又134天,11.21%,1年又164天/4年又78天
鹏华丰尚定开债A,002395,0.98亿元（2019-12-31）,5.43%,11.79%,12.22%,19.34%,23.05%,20.25%,戴钢,3年又351天,20.25%,8年又92天
博时安康定开债(LOF),501100,1.31亿元（2019-12-31）,2.66%,4.17%,6.73%,10.84%,20.42%,20.55%,陈凯杨,3年又19天,20.55%,7年又93天
中加纯债一年A,000552,10.21亿元（2019-12-31）,1.92%,3.00%,4.57%,7.25%,18.63%,56.63%,闫沛贤,5年又350天,56.63%,6年又139天
鹏华丰尚定开债B,002396,0.44亿元（2019-12-31）,5.49%,11.73%,12.15%,18.98%,21.83%,18.70%,戴钢,3年又351天,18.70%,8年又92天
泰信鑫益定期开放A,000212,0.42亿元（2019-12-31）,1.63%,3.13%,3.22%,5.61%,13.60%,38.25%,何俊春,6年又235天,38.25%,13年又30天
兴业年年利定开债,001019,13.21亿元（2019-12-31）,1.81%,3.23%,4.32%,7.85%,15.93%,27.80%,丁进,3年又111天,14.28%,4年又284天
农银金泰一年定开债,003691,1.06亿元（2019-12-31）,0.66%,2.02%,2.53%,5.07%,16.31%,17.07%,史向明,3年又71天,17.07%,11年又121天
浦银月月盈定期支付债券C,519129,0.01亿元（2019-12-31）,1.19%,1.96%,1.96%,4.18%,11.16%,19.50%,刘大巍,2年又325天,11.47%,3年又203天
银河久益回报6个月定开C,519663,0.10亿元（2019-12-31）,0.89%,1.30%,1.76%,2.07%,7.27%,69.71%,蒋磊,2年又313天,7.00%,3年又194天
农银金安18个月定开债,004134,2.33亿元（2019-12-31）,1.18%,2.20%,2.14%,4.93%,--,16.33%,姚臻,3年又1天,16.33%,3年又215天
华夏恒利定开债,002552,0.58亿元（2019-12-31）,2.00%,3.47%,3.78%,5.69%,15.62%,16.78%,刘明宇,99天,3.54%,2年又87天
泰信鑫益定期开放C,000213,0.09亿元（2019-12-31）,1.57%,3.00%,3.00%,5.14%,12.32%,34.50%,何俊春,6年又235天,34.50%,13年又30天
中加纯债一年C,000553,0.79亿元（2019-12-31）,1.84%,2.92%,4.40%,6.90%,17.29%,53.24%,闫沛贤,5年又350天,53.24%,6年又139天
鹏华丰饶定开债,000329,5.09亿元（2019-12-31）,1.51%,3.52%,4.47%,7.61%,16.70%,14.60%,王石千,185天,4.56%,1年又345天
东方红6个月定开债,001906,21.87亿元（2019-12-31）,1.63%,2.64%,3.51%,5.62%,16.58%,20.34%,纪文静,4年又134天,20.34%,4年又238天
招商添利两年债券,006150,2.41亿元（2019-12-31）,1.68%,3.31%,4.71%,8.15%,--,14.09%,马龙,1年又169天,14.09%,5年又347天
浙商惠丰定开债,002830,5.64亿元（2019-12-31）,0.98%,2.52%,3.45%,5.66%,16.06%,16.30%,周锦程,172天,3.36%,3年又19天
中欧弘安一年定期开放债券,003419,1.08亿元（2019-12-31）,1.54%,2.50%,3.26%,5.05%,--,15.60%,刘波,1年又17天,5.17%,6年又170天
国泰招惠收益定期开放债券,005185,0.53亿元（2019-12-31）,2.43%,3.98%,4.73%,5.93%,--,16.12%,王琳/陈雷,190天,4.96%,3年又42天/2年又296天
中加聚鑫纯债一年定开C,004941,0.13亿元（2019-12-31）,3.06%,4.67%,5.54%,6.94%,--,13.58%,李瑾懿,121天,5.42%,121天
益民信用增利纯债一年定开A,004803,0.53亿元（2019-12-31）,0.93%,2.64%,2.91%,4.81%,--,14.00%,赵若琼,67天,0.54%,3年又8天
中加聚鑫纯债一年定开A,004940,2.57亿元（2019-12-31）,3.09%,4.75%,5.70%,7.26%,--,14.42%,李瑾懿,121天,5.51%,121天
广发集利一年定开债A,000267,10.09亿元（2019-12-31）,2.89%,4.10%,4.85%,7.25%,19.00%,64.51%,代宇,6年又200天,64.51%,8年又217天
兴业启元一年定开债A,003309,1.27亿元（2019-12-31）,1.74%,2.48%,3.02%,5.73%,12.83%,13.08%,唐丁祥,1年又10天,5.73%,1年又17天
广发集利一年定开债C,000268,2.28亿元（2019-12-31）,2.81%,3.93%,4.59%,6.79%,17.54%,60.17%,代宇,6年又200天,60.17%,8年又217天
华安聚利18个月定开债A,002948,3.47亿元（2019-12-31）,1.20%,2.23%,2.82%,4.78%,15.55%,13.35%,石雨欣,3年又211天,13.35%,4年又235天
华泰保兴尊诚一年定开债,004024,38.61亿元（2019-12-31）,1.31%,2.40%,2.96%,6.18%,24.21%,24.24%,张挺,3年又13天,24.24%,3年又13天
益民信用增利纯债一年定开C,004804,0.02亿元（2019-12-31）,0.87%,2.53%,2.73%,4.41%,--,13.15%,赵若琼,67天,0.46%,3年又8天
兴业定开债A,000546,10.72亿元（2019-12-31）,1.42%,2.47%,3.44%,6.28%,17.62%,48.28%,腊博/周鸣,4年又228天,26.24%,6年又36天/10年又31天
中银互利半年定开债,163825,1.85亿元（2019-12-31）,2.19%,4.59%,5.07%,4.15%,16.79%,65.81%,周毅/奚鹏洲,2年又25天,11.45%,2年又25天/9年又295天
工银瑞盈18个月定开债,003341,0.53亿元（2019-12-31）,0.78%,2.56%,3.15%,5.26%,12.57%,12.76%,李昱/李敏,19天,0.35%,2年又44天/6年又150天
中银丰和定开债券,004722,480.22亿元（2019-12-31）,1.66%,2.73%,3.39%,5.64%,--,14.16%,索丽娜/郑涛,219天,3.92%,1年又9天/3年又274天
广发汇平一年定开债A,003743,0.23亿元（2019-12-31）,1.31%,1.95%,1.96%,4.02%,12.21%,12.49%,代宇,3年又61天,12.49%,8年又217天
博时岁岁增利一年定开债,000200,6.61亿元（2019-12-31）,1.91%,3.13%,4.28%,7.27%,15.99%,50.44%,鲁邦旺,3年又83天,15.99%,3年又83天
招商招兴3个月定开A,002756,29.83亿元（2019-12-31）,1.88%,3.01%,3.78%,6.71%,18.06%,21.78%,范刚强,98天,3.01%,98天
博时裕坤3个月定开债,002143,106.12亿元（2019-12-31）,1.14%,2.07%,2.66%,5.10%,16.17%,17.71%,陈凯杨,362天,5.03%,7年又93天
海富通瑞祥一年定开债券,519138,2.38亿元（2019-12-31）,1.54%,2.76%,3.33%,5.87%,--,16.58%,张靖爽,172天,3.33%,3年又229天
兴业启元一年定开债C,003310,1.33亿元（2019-12-31）,1.69%,2.38%,2.80%,5.30%,11.46%,11.56%,唐丁祥,1年又10天,5.30%,1年又17天
华安聚利18个月定开债C,002949,0.03亿元（2019-12-31）,1.14%,2.12%,2.62%,4.35%,14.15%,11.73%,石雨欣,3年又211天,11.73%,4年又235天
广发汇富一年定期债券A,004021,4.28亿元（2019-12-31）,1.84%,2.78%,3.76%,7.11%,19.37%,19.55%,代宇,3年又23天,19.55%,8年又217天
广发汇平一年定开债C,003744,0.38亿元（2019-12-31）,1.25%,1.84%,1.75%,3.60%,10.92%,11.13%,代宇,3年又61天,11.13%,8年又217天
兴业定开债C,002507,1.42亿元（2019-12-31）,1.35%,2.33%,3.13%,5.82%,16.27%,17.87%,腊博/周鸣,3年又350天,17.87%,6年又36天/10年又31天
招商招兴3个月定开C,002757,0.00亿元（2019-12-31）,1.85%,2.96%,3.68%,6.52%,17.22%,20.68%,范刚强,98天,2.96%,98天
大摩增值18个月开放债券A,001859,10.01亿元（2019-12-31）,0.72%,1.36%,2.39%,4.09%,17.11%,22.61%,张雪,4年又6天,22.61%,5年又90天
博时安瑞18个月定开债A,002476,0.52亿元（2019-12-31）,1.91%,2.94%,4.48%,7.58%,16.86%,17.80%,李汉楠/陈凯杨,75天,2.57%,75天/7年又93天
浙商汇金聚利一年定开债A,002805,2.18亿元（2019-12-31）,1.09%,1.83%,2.49%,5.33%,19.46%,18.39%,应洁茜,1年又291天,13.07%,2年又58天
农银汇理金穗纯债3个月定开债,003526,750.52亿元（2019-12-31）,0.34%,1.09%,1.74%,2.95%,11.08%,11.53%,姚臻,3年又121天,11.53%,3年又215天
红塔红土盛商一年定开债A,004708,2.18亿元（2019-12-31）,6.45%,8.14%,9.12%,8.86%,--,14.58%,梁钧/罗薇,1年又167天,11.17%,5年又80天/3年又308天
广发汇富一年定期债券C,004022,0.00亿元（2019-12-31）,1.79%,2.67%,3.56%,6.68%,17.98%,18.13%,代宇,3年又23天,18.13%,8年又217天
中加纯债两年债券C,003661,0.00亿元（2019-12-31）,1.76%,2.59%,3.77%,6.16%,19.46%,20.02%,杨宇俊,3年又117天,20.02%,3年又350天
长江乐丰纯债,005070,5.53亿元（2019-12-31）,1.64%,2.79%,4.15%,7.69%,--,17.32%,漆志伟,2年又198天,17.32%,3年又142天
博时安泰18个月定开债A,002356,2.39亿元（2019-12-31）,2.12%,3.45%,4.82%,8.30%,16.51%,18.37%,程卓,1年又358天,15.47%,3年又209天
中银证券汇嘉定期开放债券,005309,420.43亿元（2019-12-31）,1.68%,2.77%,3.64%,6.00%,--,11.94%,余亮/吕文晔,115天,3.28%,115天/2年又211天
江信聚福定开债,000583,0.71亿元（2019-12-31）,1.58%,2.81%,3.54%,5.19%,10.79%,47.49%,静鹏,355天,4.78%,3年又224天
鑫元合利定开债发起式,005849,5.58亿元（2019-12-31）,0.97%,1.81%,2.50%,4.38%,--,10.78%,颜昕,148天,2.32%,4年又256天
银华信用精选一年定开债,006612,49.54亿元（2019-12-31）,1.35%,2.31%,4.24%,8.65%,--,10.84%,刘小平,1年又93天,10.84%,1年又93天
泰康年年红纯债一年债券,004859,28.01亿元（2019-12-31）,1.87%,3.13%,3.88%,7.11%,--,20.68%,经惠云,303天,6.39%,4年又109天
